event_id,category,slice,leg,ticker,evaluator_window_positive,left_ts,right_ts,scheduled_start_ts,window1_open_cents,window1_close_cents,leg_direction,raw_bbo_rows,distinct_top_states,true_print_rows,print_floor_cents,print_floor_ts,reason,quote_10s_floor_limit_cents,quote_10s_first_touch_ts,quote_10s_first_span_seconds,quote_10s_first_span_min_ask_cents,quote_10s_first_span_max_ask_cents,quote_10s_longest_span_seconds,quote_10s_qualifying_span_count,quote_30s_floor_limit_cents,quote_30s_first_touch_ts,quote_30s_first_span_seconds,quote_30s_first_span_min_ask_cents,quote_30s_first_span_max_ask_cents,quote_30s_longest_span_seconds,quote_30s_qualifying_span_count,quote_60s_floor_limit_cents,quote_60s_first_touch_ts,quote_60s_first_span_seconds,quote_60s_first_span_min_ask_cents,quote_60s_first_span_max_ask_cents,quote_60s_longest_span_seconds,quote_60s_qualifying_span_count,quote_300s_floor_limit_cents,quote_300s_first_touch_ts,quote_300s_first_span_seconds,quote_300s_first_span_min_ask_cents,quote_300s_first_span_max_ask_cents,quote_300s_longest_span_seconds,quote_300s_qualifying_span_count
KXATPCHALLENGERMATCH-26JUL12DEGEE,ATP_CHALL,fit,DE,KXATPCHALLENGERMATCH-26JUL12DEGEE-DE,True,1783825200.0,1783949340.0,1783854000.0,,49,UNKNOWN,39397,10483,77,34,1783860874.522317,,33,1783860490.0,10.0,33,33,10.0,1,34,1783859178.0,2081.0,33,34,2081.0,2,34,1783859178.0,2081.0,33,34,2081.0,2,34,1783859178.0,2081.0,33,34,2081.0,2
KXATPCHALLENGERMATCH-26JUL12DEGEE,ATP_CHALL,fit,GEE,KXATPCHALLENGERMATCH-26JUL12DEGEE-GEE,True,1783825200.0,1783949340.0,1783854000.0,,53,UNKNOWN,177312,15767,117,51,1783946471.092558,,52,1783941797.0,3138.0,52,52,3138.0,2,52,1783941797.0,3138.0,52,52,3138.0,2,52,1783941797.0,3138.0,52,52,3138.0,2,52,1783941797.0,3138.0,52,52,3138.0,2
KXATPCHALLENGERMATCH-26JUL12DELMAK,ATP_CHALL,fit,DEL,KXATPCHALLENGERMATCH-26JUL12DELMAK-DEL,True,1783829400.0,1783850100.0,1783858200.0,11,,UNKNOWN,1243,28,27,5,1783849073.517377,,8,1783836991.0,13109.0,8,8,13109.0,1,8,1783836991.0,13109.0,8,8,13109.0,1,8,1783836991.0,13109.0,8,8,13109.0,1,8,1783836991.0,13109.0,8,8,13109.0,1
KXATPCHALLENGERMATCH-26JUL12DELMAK,ATP_CHALL,fit,MAK,KXATPCHALLENGERMATCH-26JUL12DELMAK-MAK,True,1783829400.0,1783850100.0,1783858200.0,93,93,FLAT,800,8,5,93,1783831646.344838,,93,1783829400.0,20700.0,93,93,20700.0,1,93,1783829400.0,20700.0,93,93,20700.0,1,93,1783829400.0,20700.0,93,93,20700.0,1,93,1783829400.0,20700.0,93,93,20700.0,1
KXATPCHALLENGERMATCH-26JUL12DEVGON,ATP_CHALL,fit,DEV,KXATPCHALLENGERMATCH-26JUL12DEVGON-DEV,True,1783860000.0,1783880640.0,1783888800.0,30,32,CLIMBING,7133,1111,8,30,1783877260.622503,,32,1783877260.0,241.0,32,32,2663.0,3,32,1783877260.0,241.0,32,32,2663.0,3,32,1783877260.0,241.0,32,32,2663.0,3,32,1783877501.0,2663.0,32,32,2663.0,2
KXATPCHALLENGERMATCH-26JUL12DEVGON,ATP_CHALL,fit,GON,KXATPCHALLENGERMATCH-26JUL12DEVGON-GON,True,1783860000.0,1783880640.0,1783888800.0,69,70,CLIMBING,9950,180,10,69,1783867487.970873,,69,1783860000.0,1635.0,69,69,4414.0,85,69,1783860000.0,1635.0,69,69,4414.0,68,69,1783860000.0,1635.0,69,69,4414.0,5,69,1783860000.0,1635.0,69,69,4414.0,4
KXATPCHALLENGERMATCH-26JUL12DODDEL,ATP_CHALL,fit,DEL,KXATPCHALLENGERMATCH-26JUL12DODDEL-DEL,True,1783832400.0,1783850100.0,1783861200.0,64,64,FLAT,690,3,68,64,1783832558.826618,,61,1783832400.0,14447.0,61,61,14447.0,1,61,1783832400.0,14447.0,61,61,14447.0,1,61,1783832400.0,14447.0,61,61,14447.0,1,61,1783832400.0,14447.0,61,61,14447.0,1
KXATPCHALLENGERMATCH-26JUL12DODDEL,ATP_CHALL,fit,DOD,KXATPCHALLENGERMATCH-26JUL12DODDEL-DOD,True,1783832400.0,1783850100.0,1783861200.0,36,37,CLIMBING,775,4,45,36,1783835438.554676,,37,1783832400.0,14448.0,37,37,14448.0,2,37,1783832400.0,14448.0,37,37,14448.0,2,37,1783832400.0,14448.0,37,37,14448.0,2,37,1783832400.0,14448.0,37,37,14448.0,2
KXATPCHALLENGERMATCH-26JUL12DROPIR,ATP_CHALL,fit,DRO,KXATPCHALLENGERMATCH-26JUL12DROPIR-DRO,True,1783854000.0,1783872240.0,1783882800.0,60,60,FLAT,2657,12,84,59,1783866638.932375,,59,1783872219.0,21.0,59,59,21.0,1,60,1783854000.0,4168.0,60,60,12089.0,3,60,1783854000.0,4168.0,60,60,12089.0,3,60,1783854000.0,4168.0,60,60,12089.0,3
KXATPCHALLENGERMATCH-26JUL12DROPIR,ATP_CHALL,fit,PIR,KXATPCHALLENGERMATCH-26JUL12DROPIR-PIR,True,1783854000.0,1783872240.0,1783882800.0,41,,UNKNOWN,1846,36,33,41,1783860150.713679,,40,1783857678.0,381.0,40,40,381.0,1,40,1783857678.0,381.0,40,40,381.0,1,40,1783857678.0,381.0,40,40,381.0,1,40,1783857678.0,381.0,40,40,381.0,1
