ticker,cell,side,fill_price,fill_ts,bid_at_fill,ask_at_fill,spread_at_fill,mid_at_fill,mid_30min_before,price_change_30min,direction_30min,oscillation_range,n_window_snaps,paired
KXATPCHALLENGERMATCH-26APR26ONCSTE-ONC,ATP_CHALL_leader_75-79,leader,73,2026-04-26 12:22:28 PM ET,73,74,1,73.5,73.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR26BUSSUA-BUS,ATP_CHALL_underdog_20-24,underdog,20,2026-04-26 12:23:09 PM ET,17,18,1,17.5,21.5,-1.0,TRENDING_DOWN,1.0,6,False
KXWTAMATCH-26APR27SIEPLI-PLI,WTA_MAIN_leader_60-64,leader,63,2026-04-26 01:03:58 PM ET,60,62,2,61.0,63.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR26KUHSAN-SAN,ATP_CHALL_underdog_20-24,underdog,24,2026-04-26 03:31:26 PM ET,24,25,1,24.5,22.0,2.5,TRENDING_UP,2.5,6,False
KXATPCHALLENGERMATCH-26APR26ILAPEA-PEA,ATP_CHALL_underdog_10-14,underdog,14,2026-04-26 07:44:27 PM ET,14,16,2,15.0,15.0,0.0,FLAT,0.0,6,True
KXWTAMATCH-26APR27BENBAP-BEN,WTA_MAIN_leader_70-74,leader,70,2026-04-26 08:07:34 PM ET,69,70,1,69.5,70.5,0.0,FLAT,0.0,6,True
KXATPCHALLENGERMATCH-26APR26ILAPEA-ILA,ATP_CHALL_leader_80-84,leader,84,2026-04-26 08:53:26 PM ET,78,83,5,80.5,86.0,0.0,FLAT,0.0,6,True
KXATPCHALLENGERMATCH-26APR27MOCCAM-MOC,ATP_CHALL_underdog_20-24,underdog,22,2026-04-26 09:28:30 PM ET,22,23,1,22.5,22.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR27ORLVIT-VIT,ATP_CHALL_underdog_20-24,underdog,22,2026-04-26 09:28:31 PM ET,22,24,2,23.0,23.0,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR26SHAMOR-MOR,ATP_CHALL_underdog_20-24,underdog,22,2026-04-26 09:41:49 PM ET,22,24,2,23.0,23.5,0.0,FLAT,0.0,6,False
