ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz,bid_depth_5,ask_depth_5
1783868524,2026-07-12 11:02:04 AM,28,50305.0,19,1.0,119961.0,88290.0
1783868529,2026-07-12 11:02:09 AM,28,47305.0,19,1.0,118061.0,124949.0
1783868529,2026-07-12 11:02:09 AM,28,50305.0,19,1.0,121061.0,124949.0
1783868530,2026-07-12 11:02:10 AM,28,44305.0,19,1.0,115061.0,124954.0
1783868530,2026-07-12 11:02:10 AM,28,47305.0,19,1.0,118061.0,124954.0
1783868531,2026-07-12 11:02:11 AM,28,43105.0,19,1.0,119861.0,133844.0
1783868531,2026-07-12 11:02:11 AM,28,44305.0,19,1.0,121061.0,130944.0
1783868532,2026-07-12 11:02:12 AM,28,43105.0,19,1.0,121061.0,133862.0
1783868534,2026-07-12 11:02:14 AM,28,43011.0,19,1.0,119967.0,133800.0
1783868534,2026-07-12 11:02:14 AM,28,43073.0,19,1.0,120029.0,133800.0
1783868534,2026-07-12 11:02:14 AM,28,43105.0,19,1.0,120061.0,133849.0
1783868534,2026-07-12 11:02:14 AM,28,43110.0,19,1.0,119966.0,133800.0
1783868536,2026-07-12 11:02:16 AM,28,21815.0,19,1.0,98871.0,133800.0
1783868536,2026-07-12 11:02:16 AM,28,29418.0,19,1.0,106474.0,133800.0
1783868538,2026-07-12 11:02:18 AM,28,29165.0,19,1.0,120289.0,133800.0
1783868538,2026-07-12 11:02:18 AM,28,29366.0,19,1.0,120490.0,88100.0
1783868540,2026-07-12 11:02:20 AM,28,29160.0,19,1.0,120284.0,133725.0
1783868540,2026-07-12 11:02:20 AM,28,29165.0,19,1.0,120289.0,133805.0
1783868541,2026-07-12 11:02:21 AM,28,29160.0,19,1.0,120184.0,133233.0
1783868541,2026-07-12 11:02:21 AM,28,29260.0,19,1.0,120284.0,133233.0
1783868568,2026-07-12 11:02:48 AM,28,21657.0,19,1.0,114881.0,128173.0
1783868569,2026-07-12 11:02:49 AM,28,27954.0,19,1.0,118178.0,128173.0
1783868579,2026-07-12 11:02:59 AM,24,28810.0,25,74870.0,122256.0,264306.0
1783868581,2026-07-12 11:03:01 AM,24,28810.0,25,74680.0,122205.0,264499.0
1783868583,2026-07-12 11:03:03 AM,24,28815.0,25,74680.0,125315.0,263017.0
1783868584,2026-07-12 11:03:04 AM,24,28810.0,25,74680.0,125310.0,263017.0
1783868584,2026-07-12 11:03:04 AM,24,28815.0,25,74680.0,135149.0,263017.0
1783868585,2026-07-12 11:03:05 AM,24,28815.0,25,74634.0,135044.0,262971.0
1783868585,2026-07-12 11:03:05 AM,24,28815.0,25,74673.0,135044.0,263010.0
1783868585,2026-07-12 11:03:05 AM,24,28815.0,25,74680.0,135044.0,263017.0
1783868586,2026-07-12 11:03:06 AM,24,28800.0,25,73841.0,135029.0,262178.0
1783868586,2026-07-12 11:03:06 AM,24,28800.0,25,73846.0,135029.0,262183.0
1783868586,2026-07-12 11:03:06 AM,24,28800.0,25,73851.0,135029.0,262188.0
1783868586,2026-07-12 11:03:06 AM,24,28805.0,25,73841.0,135034.0,262178.0
1783868586,2026-07-12 11:03:06 AM,24,28805.0,25,73874.0,135034.0,262211.0
1783868586,2026-07-12 11:03:06 AM,24,28805.0,25,73879.0,135034.0,262216.0
1783868586,2026-07-12 11:03:06 AM,24,28810.0,25,73874.0,135039.0,262211.0
1783868586,2026-07-12 11:03:06 AM,24,28815.0,25,73874.0,135044.0,262211.0
1783868587,2026-07-12 11:03:07 AM,24,28800.0,25,71173.0,135029.0,261557.0
1783868587,2026-07-12 11:03:07 AM,24,28800.0,25,72288.0,135029.0,262672.0
1783868587,2026-07-12 11:03:07 AM,24,28800.0,25,73023.0,135029.0,261360.0
1783868587,2026-07-12 11:03:07 AM,24,28800.0,25,74173.0,134929.0,264557.0
1783868591,2026-07-12 11:03:11 AM,24,28800.0,25,74178.0,135029.0,265664.0
1783868595,2026-07-12 11:03:15 AM,24,22189.0,25,72734.0,128418.0,264330.0
1783868595,2026-07-12 11:03:15 AM,24,28800.0,25,72734.0,135029.0,261552.0
1783868597,2026-07-12 11:03:17 AM,24,22189.0,25,72734.0,128418.0,264330.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,23544.0,114883.0,172654.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,24744.0,114883.0,182254.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,25944.0,114883.0,183454.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,27144.0,114883.0,184654.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,28344.0,114883.0,185854.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,29544.0,114883.0,187054.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,30744.0,114883.0,188254.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,31944.0,114883.0,192454.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,33144.0,114883.0,193654.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,33194.0,114883.0,193704.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,36194.0,114883.0,202704.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,39194.0,114883.0,208704.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,39634.0,114883.0,209144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,42634.0,114883.0,212144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,45634.0,114883.0,215144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,48634.0,114883.0,218144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,51634.0,114883.0,221144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,54634.0,114883.0,230144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,57634.0,114883.0,242144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,60634.0,114883.0,245144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,63634.0,114883.0,251144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,66634.0,114883.0,254144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,69634.0,114883.0,257144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,72634.0,114883.0,260144.0
1783868603,2026-07-12 11:03:23 AM,24,22189.0,25,72734.0,116083.0,266244.0
1783868604,2026-07-12 11:03:24 AM,24,22189.0,25,22784.0,114283.0,283036.0
1783868604,2026-07-12 11:03:24 AM,24,22189.0,25,23044.0,114283.0,293946.0
1783868604,2026-07-12 11:03:24 AM,24,22189.0,25,23544.0,114283.0,294396.0
1783868605,2026-07-12 11:03:25 AM,24,22189.0,25,22502.0,114883.0,203195.0
1783868605,2026-07-12 11:03:25 AM,24,22189.0,25,22602.0,114883.0,203295.0
1783868605,2026-07-12 11:03:25 AM,24,22189.0,25,22784.0,114883.0,196177.0
1783868605,2026-07-12 11:03:25 AM,24,22189.0,25,22834.0,114883.0,203527.0
1783868606,2026-07-12 11:03:26 AM,24,121.0,25,22502.0,66198.0,174002.0
1783868606,2026-07-12 11:03:26 AM,24,149.0,25,22502.0,66226.0,174002.0
1783868606,2026-07-12 11:03:26 AM,24,172.0,25,5118.0,10645.0,132049.0
1783868606,2026-07-12 11:03:26 AM,24,172.0,25,5123.0,10645.0,132054.0
1783868606,2026-07-12 11:03:26 AM,24,172.0,25,5173.0,22873.0,132054.0
1783868606,2026-07-12 11:03:26 AM,24,172.0,25,11677.0,54281.0,140341.0
1783868606,2026-07-12 11:03:26 AM,24,172.0,25,11727.0,50828.0,131839.0
1783868606,2026-07-12 11:03:26 AM,24,172.0,25,22502.0,65499.0,174002.0
1783868606,2026-07-12 11:03:26 AM,24,22189.0,25,22502.0,88266.0,187883.0
1783868607,2026-07-12 11:03:27 AM,24,172.0,25,63.0,10645.0,76700.0
1783868607,2026-07-12 11:03:27 AM,24,172.0,25,5113.0,10645.0,130229.0
1783868607,2026-07-12 11:03:27 AM,24,222.0,25,63.0,10495.0,70797.0
1783868607,2026-07-12 11:03:27 AM,24,322.0,25,63.0,10795.0,73700.0
1783868608,2026-07-12 11:03:28 AM,24,171.0,25,8.0,15265.0,41247.0
1783868608,2026-07-12 11:03:28 AM,24,171.0,25,10.0,27695.0,41249.0
1783868608,2026-07-12 11:03:28 AM,24,194.0,25,8.0,48249.0,41247.0
1783868608,2026-07-12 11:03:28 AM,24,222.0,25,8.0,25393.0,38947.0
1783868608,2026-07-12 11:03:28 AM,24,222.0,25,13.0,10495.0,33627.0
1783868608,2026-07-12 11:03:28 AM,24,222.0,25,63.0,25441.0,49347.0
1783868609,2026-07-12 11:03:29 AM,22,28.0,25,10.0,63591.0,40049.0
1783868609,2026-07-12 11:03:29 AM,24,21.0,25,10.0,17555.0,40049.0
1783868609,2026-07-12 11:03:29 AM,24,171.0,25,10.0,30117.0,41049.0
1783868610,2026-07-12 11:03:30 AM,21,7.0,25,10.0,84042.0,40049.0
1783868610,2026-07-12 11:03:30 AM,21,35.0,25,10.0,84070.0,40049.0
1783868610,2026-07-12 11:03:30 AM,23,5.0,25,13.0,12766.0,40052.0
1783868610,2026-07-12 11:03:30 AM,23,5.0,25,15.0,15160.0,40054.0
1783868610,2026-07-12 11:03:30 AM,23,5.0,25,23.0,12648.0,54660.0
1783868610,2026-07-12 11:03:30 AM,23,10.0,25,13.0,12821.0,64950.0
1783868610,2026-07-12 11:03:30 AM,23,10.0,25,23.0,12653.0,30544.0
1783868610,2026-07-12 11:03:30 AM,23,15.0,25,13.0,12683.0,24482.0
1783868610,2026-07-12 11:03:30 AM,23,15.0,25,18.0,12658.0,29909.0
1783868610,2026-07-12 11:03:30 AM,23,15.0,25,23.0,12658.0,29914.0
1783868610,2026-07-12 11:03:30 AM,23,20.0,25,13.0,12681.0,29282.0
1783868610,2026-07-12 11:03:30 AM,23,20.0,25,16.0,12681.0,28085.0
1783868610,2026-07-12 11:03:30 AM,23,20.0,25,18.0,12681.0,69755.0
1783868610,2026-07-12 11:03:30 AM,23,20.0,25,21.0,12681.0,69758.0
1783868610,2026-07-12 11:03:30 AM,23,20.0,25,63.0,12688.0,62300.0
1783868610,2026-07-12 11:03:30 AM,23,500.0,25,10.0,49207.0,40049.0
1783868610,2026-07-12 11:03:30 AM,23,500.0,25,15.0,49207.0,40054.0
1783868610,2026-07-12 11:03:30 AM,23,505.0,25,15.0,15667.0,40054.0
