cell,trigger,combo,is_active,total,scalp_pre,dca_fires,dca_wins,dca_knife,no_opp,fire_rate_pct,win_rate_pct,dca_ev_per_fire_c,cell_roi_delta_pct
WTA_MAIN_leader_60-64,3,A,False,337,29,20,16,4,288,5.9,80.0,-72.8,-0.70
WTA_MAIN_leader_60-64,3,B,False,337,29,20,16,4,288,5.9,80.0,-84.8,-0.81
WTA_MAIN_leader_60-64,5,A,False,337,29,19,16,3,289,5.6,84.2,-19.2,-0.17
WTA_MAIN_leader_60-64,5,B,False,337,29,19,16,3,289,5.6,84.2,-40.3,-0.37
WTA_MAIN_leader_60-64,7,A,False,337,31,16,14,2,290,4.7,87.5,25.6,0.20
WTA_MAIN_leader_60-64,7,B,False,337,31,16,14,2,290,4.7,87.5,-5.0,-0.04
WTA_MAIN_leader_60-64,10,A,False,337,37,10,8,2,290,3.0,80.0,-37.0,-0.18
WTA_MAIN_leader_60-64,10,B,False,337,37,10,10,0,290,3.0,100.0,120.0,0.57
WTA_MAIN_leader_60-64,15,A,False,337,42,5,3,2,290,1.5,60.0,-219.0,-0.52
WTA_MAIN_leader_60-64,15,B,False,337,42,5,5,0,290,1.5,100.0,120.0,0.29
WTA_MAIN_leader_60-64,20,A,False,337,43,4,2,2,290,1.2,50.0,-297.5,-0.57
WTA_MAIN_leader_60-64,20,B,False,337,43,4,2,2,290,1.2,50.0,-347.5,-0.67
WTA_MAIN_leader_60-64,25,A,False,337,43,4,2,2,290,1.2,50.0,-272.5,-0.52
WTA_MAIN_leader_60-64,25,B,False,337,43,4,2,2,290,1.2,50.0,-335.0,-0.64
WTA_MAIN_leader_65-69,3,A,True,381,10,33,22,11,338,8.7,66.7,-85.5,-1.10
WTA_MAIN_leader_65-69,3,B,True,381,10,33,22,11,338,8.7,66.7,-95.5,-1.23
WTA_MAIN_leader_65-69,5,A,True,381,10,30,22,8,341,7.9,73.3,13.5,0.16
WTA_MAIN_leader_65-69,5,B,True,381,10,30,22,8,341,7.9,73.3,-4.8,-0.06
WTA_MAIN_leader_65-69,7,A,True,381,11,29,21,8,341,7.6,72.4,11.2,0.13
WTA_MAIN_leader_65-69,7,B,True,381,11,29,21,8,341,7.6,72.4,-14.1,-0.16
WTA_MAIN_leader_65-69,10,A,True,381,11,29,21,8,341,7.6,72.4,26.2,0.30
WTA_MAIN_leader_65-69,10,B,True,381,11,29,21,8,341,7.6,72.4,-10.0,-0.11
WTA_MAIN_leader_65-69,15,A,True,381,17,23,15,8,341,6.0,65.2,-45.0,-0.41
WTA_MAIN_leader_65-69,15,B,True,381,17,23,15,8,341,6.0,65.2,-93.9,-0.85
WTA_MAIN_leader_65-69,20,A,True,381,22,18,10,8,341,4.7,55.6,-149.2,-1.05
WTA_MAIN_leader_65-69,20,B,True,381,22,18,10,8,341,4.7,55.6,-204.7,-1.44
WTA_MAIN_leader_65-69,25,A,True,381,23,17,9,8,341,4.5,52.9,-159.1,-1.06
WTA_MAIN_leader_65-69,25,B,True,381,23,17,9,8,341,4.5,52.9,-225.3,-1.50
WTA_MAIN_leader_70-74,3,A,True,329,4,32,15,17,293,9.7,46.9,-379.7,-5.13
WTA_MAIN_leader_70-74,3,B,True,329,4,32,18,14,293,9.7,56.2,-249.4,-3.37
WTA_MAIN_leader_70-74,5,A,True,329,5,29,14,15,295,8.8,48.3,-350.0,-4.28
WTA_MAIN_leader_70-74,5,B,True,329,5,29,17,12,295,8.8,58.6,-211.6,-2.59
WTA_MAIN_leader_70-74,7,A,True,329,6,28,13,15,295,8.5,46.4,-366.8,-4.34
WTA_MAIN_leader_70-74,7,B,True,329,6,28,16,12,295,8.5,57.1,-228.2,-2.70
