V3 ANALYSIS — Per-cell exit target sweep with tick replay
Entry: ask-1 (leaders), bid+1+offset (underdogs)
DCA: strategy B (blended target) where applicable
Baby sizing: 10ct entry, 5ct DCA

==============================================================================================================
ATP_CHALL_leader_55-59 | n=70 trajs | avg_entry=58.8c | peak p50=+40c p75=+40c p90=+40c | offset=-1 | dca=11
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
   +21c  73.8  75.4  63.8 +12.90% $+0.776   65   48
   +22c  73.8  75.4  63.8 +14.60% $+0.884   65   48
   +23c  73.8  75.4  63.8 +16.30% $+0.992   65   48
   +24c  72.3  73.8  63.8 +15.60% $+0.942   65   47
   +25c  70.8  72.3  63.8 +14.84% $+0.888   65   46
   +26c  70.8  72.3  63.8 +16.47% $+0.992   65   46
   +27c  70.8  72.3  63.8 +18.10% $+1.095   65   46
   +28c  70.8  72.3  63.8 +19.73% $+1.198   65   46
   +29c  70.8  72.3  64.1 +21.38% $+1.324   65   46
   +30c  69.2  70.8  64.4 +20.40% $+1.283   65   45
 hold99  53.8  55.4  65.1 +26.63% $+1.746   65   35 <<<
  BEST (ROI, WR>50%): hold99 | ROI=+26.63% EV=$+1.746/trade WR=54%

==============================================================================================================
ATP_MAIN_leader_55-59 | n=26 trajs | avg_entry=56.7c | peak p50=+42c p75=+42c p90=+42c | offset=+1 | dca=1
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  92.3  92.3  72.7  +5.11% $+0.377   26   24
    +4c  92.3  92.3  74.8  +6.79% $+0.515   26   24
    +5c  92.3  92.3  77.0  +8.48% $+0.662   26   24
    +6c  88.5  88.5  77.0  +9.10% $+0.702   26   23
    +7c  88.5  88.5  78.1 +10.69% $+0.838   26   23
    +8c  88.5  88.5  79.1 +12.29% $+0.979   26   23
    +9c  88.5  88.5  79.1 +13.85% $+1.104   26   23 <<<
   +10c  84.6  84.6  80.2 +10.90% $+0.863   26   22
   +11c  76.9  76.9  80.2  +3.15% $+0.212   26   20
   +12c  76.9  76.9  80.2  +4.51% $+0.321   26   20
   +13c  76.9  76.9  80.2  +5.87% $+0.431   26   20
   +14c  76.9  76.9  80.2  +7.24% $+0.540   26   20
   +15c  76.9  76.9  80.2  +8.60% $+0.650   26   20
   +16c  76.9  76.9  80.2  +9.97% $+0.760   26   20
   +17c  76.9  76.9  80.2 +11.33% $+0.869   26   20
   +18c  73.1  73.1  80.2  +7.60% $+0.546   26   19
   +19c  69.2  69.2  81.2  +3.77% $+0.250   26   18
   +20c  69.2  69.2  81.2  +5.00% $+0.350   26   18
   +21c  65.4  65.4  81.2  +4.02% $+0.265   26   17
   +22c  61.5  61.5  82.3  -0.16% $-0.052   26   16
   +23c  57.7  57.7  82.3  -4.55% $-0.412   26   15
   +24c  57.7  57.7  82.3  -3.53% $-0.327   26   15
   +25c  57.7  57.7  82.3  -2.51% $-0.242   26   15
   +26c  57.7  57.7  82.3  -1.49% $-0.158   26   15
   +27c  57.7  57.7  82.3  -0.47% $-0.073   26   15
   +28c  57.7  57.7  82.3  +0.56% $+0.012   26   15
   +29c  57.7  57.7  82.3  +1.58% $+0.096   26   15
   +30c  57.7  57.7  82.3  +2.60% $+0.181   26   15
 hold99  53.8  53.8  83.4  +8.38% $+0.725   26   14
  BEST (ROI, WR>50%): +9c | ROI=+13.85% EV=$+1.104/trade WR=88%

==============================================================================================================
ATP_MAIN_leader_60-64 | n=37 trajs | avg_entry=62.8c | peak p50=+35c p75=+36c p90=+37c | offset=+0 | dca=10
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  83.8  83.8  71.3  -1.58% $-0.211   37   31
    +4c  83.8  83.8  72.8  -0.17% $-0.101   37   31
    +5c  83.8  83.8  73.5  +1.21% $+0.005   37   31 <<<
    +6c  75.7  75.7  77.1  -6.25% $-0.646   37   28
    +7c  75.7  75.7  77.8  -4.98% $-0.541   37   28
    +8c  75.7  75.7  77.8  -3.74% $-0.445   37   28
    +9c  75.7  75.7  79.3  -2.42% $-0.322   37   28
   +10c  73.0  73.0  80.0  -4.31% $-0.492   37   27
   +11c  73.0  73.0  80.0  -3.11% $-0.396   37   27
   +12c  73.0  73.0  80.0  -1.90% $-0.300   37   27
   +13c  73.0  73.0  80.0  -0.70% $-0.204   37   27
   +14c  73.0  73.0  80.7  +0.55% $-0.088   37   27
   +15c  70.3  70.3  82.1  -1.52% $-0.255   37   26
   +16c  67.6  67.6  82.1  -3.82% $-0.459   37   25
   +17c  67.6  67.6  82.1  -2.70% $-0.368   37   25
   +18c  67.6  67.6  82.8  -1.53% $-0.250   37   25
   +19c  67.6  67.6  83.5  -0.34% $-0.130   37   25
   +20c  64.9  64.9  83.5  -2.82% $-0.364   37   24
   +21c  64.9  64.9  83.5  -1.74% $-0.273   37   24
   +22c  64.9  64.9  83.5  -0.66% $-0.182   37   24
   +23c  64.9  64.9  83.5  +0.41% $-0.092   37   24
   +24c  62.2  62.2  83.5  -2.35% $-0.334   37   23
   +25c  62.2  62.2  83.5  -1.32% $-0.247   37   23
   +26c  59.5  59.5  83.5  -4.16% $-0.514   37   22
   +27c  59.5  59.5  83.5  -3.17% $-0.431   37   22
   +28c  59.5  59.5  83.5  -2.18% $-0.349   37   22
   +29c  59.5  59.5  83.5  -1.19% $-0.266   37   22
   +30c  59.5  59.5  83.5  -0.21% $-0.184   37   22
 hold99  54.1  54.1  84.2  -0.40% $-0.201   37   20
  BEST (ROI, WR>50%): +5c | ROI=+1.21% EV=$+0.005/trade WR=84%

==============================================================================================================
ATP_MAIN_leader_65-69 | n=27 trajs | avg_entry=67.6c | peak p50=+31c p75=+31c p90=+32c | offset=+2 | dca=12
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  92.6  92.6  73.8  +2.49% $+0.152   27   25
    +4c  92.6  92.6  77.9  +3.93% $+0.283   27   25 <<<
    +5c  88.9  88.9  78.9  +1.35% $+0.019   27   24
    +6c  85.2  85.2  80.0  -1.33% $-0.254   27   23
    +7c  85.2  85.2  80.0  -0.04% $-0.152   27   23
    +8c  85.2  85.2  80.0  +1.25% $-0.050   27   23
    +9c  77.8  77.8  82.0  -5.87% $-0.715   27   21
   +10c  77.8  77.8  83.0  -4.65% $-0.602   27   21
   +11c  74.1  74.1  83.0  -7.81% $-0.922   27   20
   +12c  74.1  74.1  83.0  -6.68% $-0.831   27   20
   +13c  70.4  70.4  83.0 -10.03% $-1.163   27   19
   +14c  70.4  70.4  83.0  -8.96% $-1.078   27   19
   +15c  66.7  66.7  84.1 -12.41% $-1.404   27   18
   +16c  63.0  63.0  84.1 -16.03% $-1.767   27   17
   +17c  63.0  63.0  84.1 -15.08% $-1.691   27   17
   +18c  63.0  63.0  85.1 -14.06% $-1.581   27   17
   +19c  63.0  63.0  85.1 -13.10% $-1.504   27   17
   +20c  59.3  59.3  85.1 -17.04% $-1.881   27   16
   +21c  59.3  59.3  85.1 -16.15% $-1.809   27   16
   +22c  59.3  59.3  85.1 -15.25% $-1.737   27   16
   +23c  55.6  55.6  87.2 -19.23% $-2.063   27   15
   +24c  55.6  55.6  87.2 -18.38% $-1.993   27   15
   +25c  55.6  55.6  87.2 -17.53% $-1.922   27   15
   +26c  51.9  51.9  87.2 -21.89% $-2.352   27   14
   +27c  51.9  51.9  87.2 -21.10% $-2.287   27   14
   +28c  51.9  51.9  87.2 -20.32% $-2.222   27   14
   +29c  51.9  51.9  87.2 -19.53% $-2.157   27   14
   +30c  51.9  51.9  87.2 -18.74% $-2.093   27   14
 hold99  51.9  51.9  87.2 -16.15% $-1.857   27   14
  BEST (ROI, WR>50%): +4c | ROI=+3.93% EV=$+0.283/trade WR=93%

==============================================================================================================
ATP_MAIN_leader_70-74 | n=18 trajs | avg_entry=71.3c | peak p50=+27c p75=+28c p90=+29c | offset=-1 | dca=14
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c 100.0 100.0  80.9  +4.14% $+0.333   18   18
    +4c  94.4  94.4  82.6  -0.29% $-0.133   18   17
    +5c  94.4  94.4  82.6  +1.06% $-0.022   18   17
    +6c  94.4  94.4  82.6  +2.42% $+0.089   18   17
    +7c  94.4  94.4  82.6  +3.78% $+0.200   18   17
    +8c  94.4  94.4  82.6  +5.14% $+0.311   18   17
    +9c  94.4  94.4  84.2  +6.51% $+0.444   18   17
   +10c  94.4  94.4  84.2  +7.88% $+0.558   18   17
   +11c  94.4  94.4  84.2  +9.24% $+0.672   18   17
   +12c  94.4  94.4  85.8 +10.64% $+0.817   18   17
   +13c  94.4  94.4  85.8 +12.01% $+0.933   18   17
   +14c  94.4  94.4  85.8 +13.38% $+1.050   18   17
   +15c  94.4  94.4  85.8 +14.74% $+1.167   18   17
   +16c  94.4  94.4  85.8 +16.11% $+1.283   18   17
   +17c  94.4  94.4  85.8 +17.48% $+1.400   18   17
   +18c  94.4  94.4  87.3 +18.92% $+1.564   18   17
   +19c  94.4  94.4  88.9 +20.37% $+1.733   18   17 <<<
   +20c  88.9  88.9  90.5 +14.65% $+1.183   18   16
   +21c  88.9  88.9  90.5 +15.95% $+1.300   18   16
   +22c  88.9  88.9  92.1 +17.35% $+1.475   18   16
   +23c  88.9  88.9  92.1 +18.66% $+1.594   18   16
   +24c  83.3  83.3  93.7 +12.56% $+1.019   18   15
   +25c  83.3  83.3  93.7 +13.79% $+1.133   18   15
   +26c  83.3  83.3  93.7 +15.02% $+1.247   18   15
   +27c  77.8  77.8  93.7  +8.47% $+0.586   18   14
   +28c  77.8  77.8  93.7  +9.46% $+0.681   18   14
   +29c  77.8  77.8  93.7 +10.45% $+0.775   18   14
   +30c  77.8  77.8  93.7 +11.28% $+0.858   18   14
 hold99  77.8  77.8  93.7 +13.54% $+1.083   18   14
  BEST (ROI, WR>50%): +19c | ROI=+20.37% EV=$+1.733/trade WR=94%

==============================================================================================================
ATP_MAIN_leader_75-79 | n=12 trajs | avg_entry=76.5c | peak p50=+22c p75=+23c p90=+23c | offset=+1 | dca=35
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  91.7  91.7  78.2  +2.96% $+0.233   12   11
    +4c  91.7  91.7  80.0  +4.22% $+0.342   12   11
    +5c  91.7  91.7  80.0  +5.46% $+0.442   12   11
    +6c  91.7  91.7  80.0  +6.69% $+0.542   12   11
    +7c  91.7  91.7  80.0  +7.93% $+0.642   12   11
    +8c  91.7  91.7  80.0  +9.17% $+0.742   12   11
    +9c  91.7  91.7  80.0 +10.41% $+0.842   12   11
   +10c  91.7  91.7  80.0 +11.65% $+0.942   12   11
   +11c  91.7  91.7  80.0 +12.89% $+1.042   12   11
   +12c  91.7  91.7  80.0 +14.12% $+1.142   12   11 <<<
   +13c  83.3  83.3  80.0  +5.39% $+0.279   12   10
   +14c  83.3  83.3  80.0  +6.50% $+0.367   12   10
   +15c  83.3  83.3  80.0  +7.61% $+0.454   12   10
   +16c  75.0  75.0  80.0  -1.62% $-0.471   12    9
   +17c  75.0  75.0  80.0  -0.64% $-0.396   12    9
   +18c  75.0  75.0  80.0  +0.35% $-0.321   12    9
   +19c  66.7  66.7  81.7  -9.09% $-1.208   12    8
   +20c  66.7  66.7  81.7  -8.22% $-1.142   12    8
   +21c  58.3  58.3  83.4 -14.00% $-1.679   12    7
   +22c  58.3  58.3  83.4 -13.24% $-1.621   12    7
   +23c  58.3  58.3  83.4 -12.91% $-1.596   12    7
   +24c  58.3  58.3  83.4 -12.79% $-1.587   12    7
   +25c  58.3  58.3  83.4 -12.79% $-1.587   12    7
   +26c  58.3  58.3  83.4 -12.79% $-1.587   12    7
   +27c  58.3  58.3  83.4 -12.79% $-1.587   12    7
   +28c  58.3  58.3  83.4 -12.79% $-1.587   12    7
   +29c  58.3  58.3  83.4 -12.79% $-1.587   12    7
   +30c  58.3  58.3  83.4 -12.79% $-1.587   12    7
 hold99  58.3  58.3  83.4 -12.79% $-1.587   12    7
  BEST (ROI, WR>50%): +12c | ROI=+14.12% EV=$+1.142/trade WR=92%

==============================================================================================================
ATP_MAIN_underdog_15-19 [DISABLED] | n=11 trajs | avg_entry=17.6c | peak p50=+4c p75=+26c p90=+28c | offset=+0 | dca=15
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  63.6  63.6  18.0 -25.34% $-0.500   11    7
    +4c  54.5  54.5  18.1 -32.89% $-0.636   11    6
    +5c  45.5  45.5  18.1 -41.68% $-0.777   11    5
    +6c  45.5  45.5  18.1 -39.11% $-0.732   11    5
    +7c  45.5  45.5  18.1 -36.53% $-0.686   11    5
    +8c  45.5  45.5  18.1 -33.96% $-0.641   11    5
    +9c  45.5  45.5  18.3 -29.64% $-0.555   11    5
   +10c  45.5  45.5  18.3 -26.87% $-0.505   11    5
   +11c  36.4  36.4  18.3 -39.86% $-0.691   11    4
   +12c  36.4  36.4  18.3 -37.70% $-0.650   11    4
   +13c  36.4  36.4  18.3 -35.54% $-0.609   11    4
   +14c  36.4  36.4  18.3 -33.38% $-0.568   11    4
   +15c  36.4  36.4  18.3 -31.22% $-0.527   11    4
   +16c  36.4  36.4  18.3 -29.06% $-0.486   11    4
   +17c  36.4  36.4  18.3 -26.89% $-0.445   11    4
   +18c  27.3  27.3  18.5 -42.44% $-0.759   11    3
   +19c  27.3  27.3  18.5 -40.75% $-0.727   11    3
   +20c  27.3  27.3  18.5 -39.07% $-0.695   11    3
   +21c  27.3  27.3  18.5 -37.39% $-0.664   11    3
   +22c  27.3  27.3  18.5 -35.71% $-0.632   11    3
   +23c  27.3  27.3  18.5 -34.02% $-0.600   11    3
   +24c  27.3  27.3  18.5 -32.34% $-0.568   11    3
   +25c  27.3  27.3  18.5 -30.66% $-0.536   11    3
   +26c  27.3  27.3  18.5 -28.97% $-0.505   11    3
   +27c  18.2  18.2  18.6 -50.02% $-0.895   11    2
   +28c  18.2  18.2  18.6 -48.84% $-0.873   11    2
   +29c  18.2  18.2  18.6 -47.66% $-0.850   11    2
   +30c  18.2  18.2  18.6 -46.49% $-0.827   11    2
 hold99   0.0   0.0  18.8 -100.00% $-1.877   11    0
  *** DISABLE — no exit target produces positive ROI ***

==============================================================================================================
ATP_MAIN_underdog_20-24 | n=11 trajs | avg_entry=23.6c | peak p50=+21c p75=+63c p90=+75c | offset=-1 | dca=12
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  72.7  72.7  26.3 -17.33% $-0.495   11    8
    +4c  72.7  72.7  26.9 -13.71% $-0.391   11    8
    +5c  72.7  72.7  27.4  -9.94% $-0.277   11    8
    +6c  72.7  72.7  27.4  -6.48% $-0.182   11    8
    +7c  72.7  72.7  27.4  -3.01% $-0.086   11    8
    +8c  63.6  63.6  27.4 -12.27% $-0.373   11    7
    +9c  63.6  63.6  27.4  -9.26% $-0.291   11    7
   +10c  63.6  63.6  27.4  -6.25% $-0.209   11    7
   +11c  63.6  63.6  27.4  -3.24% $-0.127   11    7
   +12c  63.6  63.6  27.4  -0.23% $-0.045   11    7
   +13c  54.5  54.5  27.9 -11.44% $-0.341   11    6
   +14c  54.5  54.5  27.9  -8.83% $-0.268   11    6
   +15c  54.5  54.5  27.9  -6.21% $-0.195   11    6
   +16c  54.5  54.5  27.9  -3.60% $-0.123   11    6
   +17c  54.5  54.5  27.9  -0.98% $-0.050   11    6
   +18c  54.5  54.5  27.9  +1.64% $+0.023   11    6
   +19c  54.5  54.5  27.9  +4.25% $+0.095   11    6
   +20c  54.5  54.5  27.9  +6.87% $+0.168   11    6
   +21c  54.5  54.5  27.9  +9.48% $+0.241   11    6 <<<
   +22c  45.5  45.5  28.4  -5.69% $-0.145   11    5
   +23c  45.5  45.5  28.4  -3.46% $-0.082   11    5
   +24c  45.5  45.5  28.4  -1.24% $-0.018   11    5
   +25c  45.5  45.5  28.4  +0.98% $+0.045   11    5
   +26c  45.5  45.5  28.4  +3.20% $+0.109   11    5
   +27c  45.5  45.5  28.4  +5.42% $+0.173   11    5
   +28c  45.5  45.5  28.4  +7.64% $+0.236   11    5
   +29c  45.5  45.5  28.4  +9.86% $+0.300   11    5
   +30c  45.5  45.5  28.4 +12.08% $+0.364   11    5
 hold99  18.2  18.2  28.4 -15.13% $-0.591   11    2
  BEST (ROI, WR>50%): +21c | ROI=+9.48% EV=$+0.241/trade WR=55%

==============================================================================================================
ATP_MAIN_underdog_25-29 | n=14 trajs | avg_entry=27.6c | peak p50=+15c p75=+29c p90=+66c | offset=+1 | dca=24
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  78.6  78.6  28.1 -12.62% $-0.375   14   11
    +4c  78.6  78.6  28.3  -9.27% $-0.279   14   11
    +5c  78.6  78.6  28.3  -6.23% $-0.193   14   11
    +6c  71.4  71.4  28.4 -11.87% $-0.364   14   10
    +7c  71.4  71.4  28.4  -9.08% $-0.286   14   10
    +8c  71.4  71.4  28.4  -6.30% $-0.207   14   10
    +9c  64.3  64.3  28.6 -12.95% $-0.407   14    9
   +10c  64.3  64.3  28.6 -10.42% $-0.336   14    9
   +11c  57.1  57.1  28.7 -17.84% $-0.557   14    8
   +12c  57.1  57.1  28.7 -15.57% $-0.493   14    8
   +13c  57.1  57.1  28.7 -13.30% $-0.429   14    8
   +14c  57.1  57.1  28.7 -11.02% $-0.364   14    8
   +15c  57.1  57.1  28.9  -7.22% $-0.246   14    8
   +16c  57.1  57.1  28.9  -4.84% $-0.179   14    8
   +17c  57.1  57.1  28.9  -2.46% $-0.111   14    8
   +18c  57.1  57.1  28.9  -0.09% $-0.043   14    8
   +19c  57.1  57.1  28.9  +2.29% $+0.025   14    8
   +20c  57.1  57.1  28.9  +4.66% $+0.093   14    8
   +21c  57.1  57.1  28.9  +7.04% $+0.161   14    8 <<<
   +22c  50.0  50.0  28.9  -3.77% $-0.121   14    7
   +23c  42.9  50.0  28.9  -7.74% $-0.243   14    6
   +24c  28.6  35.7  29.1 -34.98% $-1.050   14    4
   +25c  28.6  35.7  29.1 -33.85% $-1.018   14    4
   +26c  28.6  35.7  29.1 -32.71% $-0.986   14    4
   +27c  28.6  35.7  29.1 -31.58% $-0.954   14    4
   +28c  28.6  35.7  29.1 -30.45% $-0.921   14    4
   +29c  28.6  35.7  29.1 -29.32% $-0.889   14    4
   +30c  21.4  28.6  29.2 -43.27% $-1.275   14    3
 hold99   7.1  14.3  29.3 -65.46% $-1.946   14    1
  BEST (ROI, WR>50%): +21c | ROI=+7.04% EV=$+0.161/trade WR=57%

==============================================================================================================
ATP_MAIN_underdog_30-34 | n=22 trajs | avg_entry=32.6c | peak p50=+62c p75=+66c p90=+67c | offset=-1 | dca=1
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  77.3  81.8  44.8 -10.40% $-0.541   22   17
    +4c  77.3  81.8  44.8  -8.01% $-0.436   22   17
    +5c  77.3  81.8  46.2  -5.52% $-0.305   22   17
    +6c  77.3  81.8  46.2  -3.12% $-0.195   22   17
    +7c  72.7  77.3  47.0  -6.24% $-0.341   22   16
    +8c  72.7  77.3  47.0  -3.99% $-0.236   22   16
    +9c  72.7  77.3  47.0  -1.73% $-0.132   22   16
   +10c  72.7  77.3  47.0  +0.52% $-0.027   22   16
   +11c  72.7  77.3  47.0  +2.78% $+0.077   22   16
   +12c  72.7  77.3  47.7  +5.10% $+0.211   22   16
   +13c  72.7  77.3  47.7  +7.36% $+0.318   22   16
   +14c  72.7  77.3  47.7  +9.61% $+0.425   22   16
   +15c  72.7  77.3  47.7 +11.87% $+0.532   22   16
   +16c  68.2  72.7  47.7  +7.31% $+0.305   22   15
   +17c  68.2  72.7  47.7  +9.43% $+0.405   22   15
   +18c  63.6  68.2  47.7  +4.28% $+0.170   22   14
   +19c  63.6  68.2  47.7  +6.25% $+0.264   22   14
   +20c  63.6  68.2  47.7  +8.22% $+0.357   22   14
   +21c  63.6  68.2  48.4 +10.26% $+0.500   22   14
   +22c  63.6  68.2  48.4 +12.23% $+0.595   22   14
   +23c  63.6  68.2  48.4 +14.20% $+0.691   22   14
   +24c  63.6  68.2  48.4 +16.17% $+0.786   22   14
   +25c  63.6  68.2  48.4 +18.14% $+0.882   22   14
   +26c  63.6  68.2  48.4 +20.11% $+0.977   22   14 <<<
   +27c  59.1  63.6  48.4 +13.74% $+0.664   22   13
   +28c  59.1  63.6  48.4 +15.57% $+0.752   22   13
   +29c  59.1  63.6  48.4 +17.40% $+0.841   22   13
   +30c  59.1  63.6  48.4 +19.23% $+0.930   22   13
 hold99  45.5  50.0  48.4 +47.69% $+2.327   22   10
  BEST (ROI, WR>50%): +26c | ROI=+20.11% EV=$+0.977/trade WR=64%

==============================================================================================================
ATP_MAIN_underdog_35-39 | n=31 trajs | avg_entry=38.4c | peak p50=+32c p75=+60c p90=+60c | offset=-1 | dca=1
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  90.3  93.5  52.9  +4.52% $+0.232   31   28
    +4c  90.3  93.5  53.5  +6.92% $+0.366   31   28
    +5c  90.3  93.5  53.5  +9.28% $+0.494   31   28
    +6c  87.1  90.3  53.5  +7.88% $+0.408   31   27
    +7c  83.9  87.1  54.1  +6.36% $+0.321   31   26
    +8c  83.9  87.1  54.7  +8.59% $+0.455   31   26
    +9c  80.6  83.9  54.7  +6.78% $+0.344   31   25
   +10c  77.4  83.9  54.7  +8.15% $+0.416   31   24
   +11c  71.0  77.4  55.3  +1.82% $+0.073   31   22
   +12c  71.0  77.4  55.3  +3.68% $+0.176   31   22
   +13c  71.0  77.4  55.3  +5.54% $+0.279   31   22
   +14c  71.0  77.4  55.3  +7.40% $+0.382   31   22
   +15c  71.0  77.4  55.3  +9.26% $+0.485   31   22
   +16c  67.7  74.2  55.3  +6.53% $+0.323   31   21
   +17c  67.7  74.2  55.3  +8.31% $+0.421   31   21
   +18c  67.7  74.2  55.3 +10.09% $+0.519   31   21
   +19c  64.5  71.0  55.3  +6.94% $+0.347   31   20
   +20c  64.5  71.0  55.3  +8.63% $+0.440   31   20
   +21c  64.5  71.0  55.3 +10.32% $+0.534   31   20
   +22c  64.5  71.0  55.9 +12.05% $+0.665   31   20
   +23c  64.5  71.0  55.9 +13.74% $+0.760   31   20
   +24c  64.5  71.0  55.9 +15.43% $+0.855   31   20 <<<
   +25c  58.1  64.5  55.9  +6.39% $+0.335   31   18
   +26c  58.1  64.5  55.9  +7.91% $+0.421   31   18
   +27c  58.1  64.5  55.9  +9.43% $+0.506   31   18
   +28c  58.1  64.5  55.9 +10.95% $+0.592   31   18
   +29c  54.8  61.3  55.9  +6.80% $+0.348   31   17
   +30c  54.8  61.3  55.9  +8.24% $+0.429   31   17
 hold99  29.0  35.5  56.5 -14.96% $-0.842   31    9
  BEST (ROI, WR>50%): +24c | ROI=+15.43% EV=$+0.855/trade WR=65%

==============================================================================================================
ATP_MAIN_underdog_40-44 [DISABLED] | n=28 trajs | avg_entry=41.5c | peak p50=+25c p75=+57c p90=+58c | offset=+0 | dca=30
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  78.6  78.6  42.9 -12.03% $-0.584   28   22
    +4c  75.0  75.0  43.1 -14.01% $-0.682   28   21
    +5c  75.0  75.0  43.1 -12.15% $-0.604   28   21
    +6c  75.0  75.0  43.1 -10.30% $-0.525   28   21
    +7c  67.9  67.9  43.5 -13.33% $-0.668   28   19
    +8c  67.9  67.9  43.5 -11.65% $-0.596   28   19
    +9c  67.9  67.9  43.5  -9.96% $-0.525   28   19
   +10c  67.9  67.9  43.5  -8.28% $-0.454   28   19
   +11c  67.9  67.9  43.5  -6.60% $-0.382   28   19
   +12c  67.9  67.9  43.5  -4.91% $-0.311   28   19
   +13c  60.7  60.7  43.9 -12.58% $-0.675   28   17
   +14c  60.7  60.7  43.9 -11.07% $-0.611   28   17
   +15c  60.7  60.7  43.9  -9.56% $-0.546   28   17
   +16c  57.1  57.1  44.2 -12.97% $-0.711   28   16
   +17c  50.0  53.6  44.6 -17.26% $-0.900   28   14
   +18c  50.0  53.6  44.6 -16.01% $-0.846   28   14
   +19c  50.0  53.6  44.6 -14.75% $-0.793   28   14
   +20c  50.0  53.6  44.6 -13.49% $-0.739   28   14
   +21c  50.0  53.6  44.6 -12.24% $-0.686   28   14
   +22c  50.0  53.6  44.6 -10.98% $-0.632   28   14
   +23c  50.0  53.6  44.6  -9.73% $-0.579   28   14
   +24c  50.0  53.6  44.6  -8.47% $-0.525   28   14
   +25c  50.0  53.6  44.6  -7.21% $-0.471   28   14
   +26c  50.0  53.6  44.6  -5.96% $-0.418   28   14
   +27c  50.0  53.6  44.6  -4.70% $-0.364   28   14
   +28c  50.0  53.6  44.6  -3.45% $-0.311   28   14
   +29c  50.0  53.6  44.6  -2.19% $-0.257   28   14
   +30c  46.4  50.0  44.8  -7.12% $-0.477   28   13
 hold99  28.6  35.7  45.4 -13.32% $-0.855   28    8
  *** DISABLE — no exit target produces positive ROI ***

==============================================================================================================
WTA_CHALL_leader_60-64 | n=5 trajs | avg_entry=61.6c | peak p50=+17c p75=+37c p90=+37c | offset=-1 | dca=15
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c 100.0 100.0  70.8  +5.05% $+0.360    5    5
    +4c 100.0 100.0  70.8  +6.73% $+0.480    5    5
    +5c 100.0 100.0  75.5  +8.55% $+0.650    5    5
    +6c 100.0 100.0  75.5 +10.26% $+0.780    5    5
    +7c 100.0 100.0  75.5 +11.97% $+0.910    5    5
    +8c 100.0 100.0  75.5 +13.68% $+1.040    5    5
    +9c 100.0 100.0  75.5 +15.39% $+1.170    5    5
   +10c 100.0 100.0  75.5 +17.11% $+1.300    5    5
   +11c 100.0 100.0  75.5 +18.82% $+1.430    5    5
   +12c 100.0 100.0  75.5 +20.53% $+1.560    5    5
   +13c 100.0 100.0  75.5 +22.24% $+1.690    5    5
   +14c 100.0 100.0  75.5 +23.95% $+1.820    5    5 <<<
   +15c  80.0  80.0  75.5  +0.40% $-0.210    5    4
   +16c  80.0  80.0  75.5  +1.75% $-0.110    5    4
   +17c  80.0  80.0  75.5  +3.11% $-0.010    5    4
   +18c  40.0  40.0  80.2 -47.88% $-4.170    5    2
   +19c  40.0  40.0  80.2 -47.20% $-4.120    5    2
   +20c  40.0  40.0  80.2 -46.53% $-4.070    5    2
   +21c  40.0  40.0  80.2 -45.86% $-4.020    5    2
   +22c  40.0  40.0  80.2 -45.18% $-3.970    5    2
   +23c  40.0  40.0  80.2 -44.51% $-3.920    5    2
   +24c  40.0  40.0  80.2 -43.84% $-3.870    5    2
   +25c  40.0  40.0  80.2 -43.16% $-3.820    5    2
   +26c  40.0  40.0  80.2 -42.49% $-3.770    5    2
   +27c  40.0  40.0  80.2 -41.82% $-3.720    5    2
   +28c  40.0  40.0  80.2 -41.14% $-3.670    5    2
   +29c  40.0  40.0  80.2 -40.47% $-3.620    5    2
   +30c  40.0  40.0  80.2 -39.80% $-3.570    5    2
 hold99  40.0  40.0  80.2 -33.33% $-3.070    5    2
  BEST (ROI, WR>50%): +14c | ROI=+23.95% EV=$+1.820/trade WR=100%

==============================================================================================================
WTA_CHALL_leader_85-89 | n=2 trajs | avg_entry=88.5c | peak p50=+11c p75=+11c p90=+11c | offset=+1 | dca=25
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c 100.0 100.0  88.5  +3.39% $+0.300    2    2
    +4c 100.0 100.0  88.5  +4.52% $+0.400    2    2
    +5c 100.0 100.0  88.5  +5.65% $+0.500    2    2
    +6c 100.0 100.0  88.5  +6.78% $+0.600    2    2
    +7c 100.0 100.0  88.5  +7.91% $+0.700    2    2
    +8c 100.0 100.0 104.2  +9.72% $+1.025    2    2
    +9c 100.0 100.0 104.2 +10.91% $+1.150    2    2
   +10c 100.0 100.0 104.2 +12.10% $+1.275    2    2
