ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1784465828,2026-07-19 08:57:08 AM,38,110,41,510
1784465851,2026-07-19 08:57:31 AM,38,100,41,500
1784465851,2026-07-19 08:57:31 AM,38,100,41,510
1784465904,2026-07-19 08:58:24 AM,37,19,41,500
1784465908,2026-07-19 08:58:28 AM,37,19,41,400
1784465923,2026-07-19 08:58:43 AM,38,100,41,400
1784465923,2026-07-19 08:58:43 AM,38,100,41,500
1784465937,2026-07-19 08:58:57 AM,38,110,41,500
1784465937,2026-07-19 08:58:57 AM,38,110,41,510
1784465960,2026-07-19 08:59:20 AM,38,10,41,510
1784465966,2026-07-19 08:59:26 AM,38,10,41,410
1784465983,2026-07-19 08:59:43 AM,38,110,41,410
1784465997,2026-07-19 08:59:57 AM,38,110,41,510
1784466202,2026-07-19 09:03:22 AM,38,110,41,574
1784466686,2026-07-19 09:11:26 AM,38,10,41,574
1784466690,2026-07-19 09:11:30 AM,38,10,41,474
1784466708,2026-07-19 09:11:48 AM,38,110,41,474
1784466727,2026-07-19 09:12:07 AM,38,110,41,574
1784466847,2026-07-19 09:14:07 AM,38,110,41,615
1784466976,2026-07-19 09:16:16 AM,38,110,41,605
1784467009,2026-07-19 09:16:49 AM,38,100,41,605
1784467033,2026-07-19 09:17:13 AM,38,110,41,615
1784467230,2026-07-19 09:20:30 AM,38,119,41,615
1784467278,2026-07-19 09:21:18 AM,38,110,41,615
1784467458,2026-07-19 09:24:18 AM,38,110,41,605
1784467477,2026-07-19 09:24:37 AM,38,100,41,605
1784467639,2026-07-19 09:27:19 AM,37,19,41,605
1784467642,2026-07-19 09:27:22 AM,37,19,41,505
1784467650,2026-07-19 09:27:30 AM,37,26,41,505
1784467661,2026-07-19 09:27:41 AM,38,100,41,505
1784467676,2026-07-19 09:27:56 AM,38,100,41,605
1784467760,2026-07-19 09:29:20 AM,37,26,41,605
1784467763,2026-07-19 09:29:23 AM,37,26,41,505
1784467782,2026-07-19 09:29:42 AM,38,100,41,505
1784467795,2026-07-19 09:29:55 AM,38,100,41,605
1784467831,2026-07-19 09:30:31 AM,37,26,41,605
1784467840,2026-07-19 09:30:40 AM,37,26,41,505
1784467843,2026-07-19 09:30:43 AM,38,100,41,505
1784467860,2026-07-19 09:31:00 AM,38,100,41,605
1784467884,2026-07-19 09:31:24 AM,37,26,41,605
1784467889,2026-07-19 09:31:29 AM,37,26,41,505
1784467914,2026-07-19 09:31:54 AM,38,100,41,505
1784467930,2026-07-19 09:32:10 AM,38,100,41,605
1784467934,2026-07-19 09:32:14 AM,38,110,41,605
1784467935,2026-07-19 09:32:15 AM,38,110,41,615
1784467949,2026-07-19 09:32:29 AM,38,10,41,615
1784467954,2026-07-19 09:32:34 AM,38,10,41,515
1784467986,2026-07-19 09:33:06 AM,38,110,41,615
1784467990,2026-07-19 09:33:10 AM,38,100,41,605
1784467990,2026-07-19 09:33:10 AM,38,100,41,615
1784468004,2026-07-19 09:33:24 AM,37,26,41,605
1784468007,2026-07-19 09:33:27 AM,37,26,41,505
1784468031,2026-07-19 09:33:51 AM,38,100,41,505
1784468057,2026-07-19 09:34:17 AM,38,100,41,605
1784468124,2026-07-19 09:35:24 AM,37,26,41,505
1784468150,2026-07-19 09:35:50 AM,38,100,41,505
1784468167,2026-07-19 09:36:07 AM,38,100,41,105
1784468167,2026-07-19 09:36:07 AM,38,100,41,205
1784468167,2026-07-19 09:36:07 AM,38,100,41,305
1784468167,2026-07-19 09:36:07 AM,38,100,41,405
