ticker,cell,type,entry_price,exit_price,result,pnl_cents,pnl_dollars,ts
KXATPMATCH-26APR21VALROC-ROC,?,settlement,31,1,LOSS,-300,-3.0,2026-04-21 12:19:23 PM ET
KXATPCHALLENGERMATCH-26APR21ONCSTR-STR,?,settlement,20,1,LOSS,-190,-1.9,2026-04-21 04:19:41 PM ET
KXATPCHALLENGERMATCH-26APR21GEEBIT-GEE,?,settlement,86,1,LOSS,-850,-8.5,2026-04-21 06:09:37 PM ET
KXATPCHALLENGERMATCH-26APR21GIMVIS-GIM,?,settlement,45,1,LOSS,-440,-4.4,2026-04-21 07:54:24 PM ET
KXATPCHALLENGERMATCH-26APR22ALBGHI-ALB,?,settlement,45,1,LOSS,-440,-4.4,2026-04-22 02:58:20 AM ET
KXATPCHALLENGERMATCH-26APR22KOPFOM-KOP,?,settlement,59,1,LOSS,-580,-5.8,2026-04-22 04:11:09 AM ET
KXATPCHALLENGERMATCH-26APR22ATLNED-ATL,?,settlement,19,1,LOSS,-180,-1.8,2026-04-22 04:40:28 AM ET
KXATPCHALLENGERMATCH-26APR22OSTGAD-GAD,?,settlement,74,1,LOSS,-730,-7.3,2026-04-22 05:30:57 AM ET
KXWTAMATCH-26APR21ZHALYS-ZHA,?,settlement,35,99,WIN,640,6.4,2026-04-22 06:37:48 AM ET
KXWTAMATCH-26APR21ZHALYS-LYS,?,settlement,64,1,LOSS,-630,-6.3,2026-04-22 06:37:48 AM ET
KXATPMATCH-26APR22BRONAV-BRO,?,settlement,35,1,LOSS,-340,-3.4,2026-04-22 06:48:58 AM ET
KXATPCHALLENGERMATCH-26APR22SKAGUL-SKA,?,settlement,74,99,WIN,250,2.5,2026-04-22 06:53:27 AM ET
KXWTAMATCH-26APR22UDVBIR-UDV,?,settlement,64,99,WIN,350,3.5,2026-04-22 07:07:30 AM ET
KXWTAMATCH-26APR21RUSRUZ-RUZ,?,settlement,28,1,LOSS,-270,-2.7,2026-04-22 07:09:22 AM ET
KXATPCHALLENGERMATCH-26APR22GAKSEL-GAK,?,settlement,32,1,LOSS,-155,-1.55,2026-04-22 07:27:25 AM ET
KXWTAMATCH-26APR22PARCOC-PAR,?,settlement,34,99,WIN,650,6.5,2026-04-22 08:44:34 AM ET
KXWTAMATCH-26APR22PAVEAL-EAL,?,settlement,54,99,WIN,450,4.5,2026-04-22 09:04:19 AM ET
KXATPMATCH-26APR22PRIBER-PRI,?,settlement,42,99,WIN,570,5.7,2026-04-22 09:15:30 AM ET
KXATPMATCH-26APR22MULSTR-STR,?,settlement,40,99,WIN,590,5.9,2026-04-22 09:17:54 AM ET
KXWTAMATCH-26APR22SNIKAS-SNI,?,settlement,39,99,WIN,600,6.0,2026-04-22 09:17:54 AM ET
KXWTAMATCH-26APR22GALTOM-GAL,?,settlement,49,99,WIN,250,2.5,2026-04-22 09:19:42 AM ET
KXWTAMATCH-26APR22UCHSTA-UCH,?,settlement,34,1,LOSS,-330,-3.3,2026-04-22 09:38:53 AM ET
KXATPCHALLENGERMATCH-26APR22SAISAK-SAK,?,settlement,59,99,WIN,400,4.0,2026-04-22 10:00:27 AM ET
KXWTAMATCH-26APR22TJECHA-TJE,?,settlement,45,99,WIN,540,5.4,2026-04-22 10:46:48 AM ET
KXWTAMATCH-26APR22TJECHA-CHA,?,settlement,48,1,LOSS,-705,-7.05,2026-04-22 10:46:48 AM ET
KXWTAMATCH-26APR21GIBARA-GIB,?,settlement,36,1,LOSS,-175,-1.75,2026-04-22 10:56:06 AM ET
KXATPMATCH-26APR22BASOFN-BAS,?,settlement,37,1,LOSS,-360,-3.6,2026-04-22 11:17:51 AM ET
KXATPCHALLENGERMATCH-26APR22CADVAS-VAS,?,settlement,45,99,WIN,540,5.4,2026-04-22 11:27:53 AM ET
KXWTAMATCH-26APR22OLIWAL-WAL,?,settlement,47,99,WIN,520,5.2,2026-04-22 12:40:20 PM ET
KXWTAMATCH-26APR22PLIKRA-KRA,?,settlement,49,1,LOSS,-480,-4.8,2026-04-22 01:29:32 PM ET
KXWTAMATCH-26APR22SELJEA-JEA,?,settlement,39,99,WIN,600,6.0,2026-04-22 01:43:09 PM ET
KXWTAMATCH-26APR22SELJEA-SEL,?,settlement,64,1,LOSS,-630,-6.3,2026-04-22 01:43:09 PM ET
KXWTAMATCH-26APR21TOWBOU-BOU,?,settlement,45,99,WIN,540,5.4,2026-04-22 02:13:11 PM ET
KXWTAMATCH-26APR22MCCVOL-VOL,?,settlement,44,1,LOSS,-430,-4.3,2026-04-22 02:31:28 PM ET
KXATPCHALLENGERMATCH-26APR22KENNIS-KEN,?,settlement,30,99,WIN,690,6.9,2026-04-22 03:02:03 PM ET
KXATPCHALLENGERMATCH-26APR22MUKERE-ERE,?,settlement,54,99,WIN,855,8.55,2026-04-22 03:42:22 PM ET
KXATPCHALLENGERMATCH-26APR22MUKERE-MUK,?,settlement,29,1,LOSS,-280,-2.8,2026-04-22 03:42:22 PM ET
KXATPCHALLENGERMATCH-26APR22WOLTAB-WOL,?,settlement,45,1,LOSS,-440,-4.4,2026-04-22 05:40:42 PM ET
KXATPCHALLENGERMATCH-26APR22STECOU-COU,?,settlement,67,1,LOSS,-660,-6.6,2026-04-22 06:43:47 PM ET
KXATPCHALLENGERMATCH-26APR22STECOU-STE,?,settlement,31,99,WIN,680,6.8,2026-04-22 06:43:47 PM ET
KXATPCHALLENGERMATCH-26APR22GALHOL-HOL,?,settlement,49,99,WIN,500,5.0,2026-04-22 11:24:47 PM ET
KXATPCHALLENGERMATCH-26APR22SHISHI2-SHI,?,settlement,64,99,WIN,350,3.5,2026-04-22 11:27:50 PM ET
KXATPCHALLENGERMATCH-26APR21CHUCHI-CHI,?,settlement,74,1,LOSS,-730,-7.3,2026-04-23 12:17:49 AM ET
KXATPCHALLENGERMATCH-26APR22KUKRIE-RIE,?,settlement,69,99,WIN,300,3.0,2026-04-23 01:34:24 AM ET
KXATPCHALLENGERMATCH-26APR23BLANED-BLA,?,settlement,19,1,LOSS,-180,-1.8,2026-04-23 05:38:34 AM ET
KXWTAMATCH-26APR23BONSVI-SVI,?,settlement,27,1,LOSS,-260,-2.6,2026-04-23 06:35:03 AM ET
KXATPMATCH-26APR22HANGIR-HAN,?,settlement,70,99,WIN,290,2.9,2026-04-23 07:32:44 AM ET
