ticker,fill_price,first_price,bias,cell_actual,cell_at_fill,cell_by_first_price,cell_mismatch,outcome,exit_price,pnl_cents,pnl_dollars,direction,ts
KXWTAMATCH-26APR25SIESON-SIE,40,0,,WTA_MAIN_underdog_40-44,WTA_MAIN_underdog_40-44,,,scalp,45,50,5.00,underdog,2026-04-26 01:19:49 AM ET
KXWTAMATCH-26APR25SIESON-SON,59,0,,WTA_MAIN_leader_55-59,WTA_MAIN_leader_55-59,,,scalp,69,100,10.00,leader,2026-04-26 01:21:17 AM ET
KXWTAMATCH-26APR25MERPLI-MER,68,0,,WTA_MAIN_leader_65-69,WTA_MAIN_leader_65-69,,,scalp,91,230,23.00,leader,2026-04-26 01:35:00 AM ET
KXATPCHALLENGERMATCH-26APR26KUSDEL-DEL,80,0,,ATP_CHALL_leader_80-84,ATP_CHALL_leader_80-84,,,scalp,95,150,15.00,leader,2026-04-26 01:41:34 AM ET
KXATPCHALLENGERMATCH-26APR26GULWEH-WEH,21,0,,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,,,settle_loss,1,-200,-20.00,underdog,2026-04-26 02:08:11 AM ET
KXATPMATCH-26APR26GRIMUS-GRI,20,0,,ATP_MAIN_underdog_20-24,ATP_MAIN_underdog_20-24,,,settle_loss,1,-190,-19.00,underdog,2026-04-26 02:30:57 AM ET
KXWTAMATCH-26APR26PEGKOS-KOS,42,0,,WTA_MAIN_underdog_40-44,WTA_MAIN_underdog_40-44,,,scalp,47,50,5.00,underdog,2026-04-26 02:37:23 AM ET
KXATPMATCH-26APR26KOPRIN-RIN,59,0,,ATP_MAIN_leader_55-59,ATP_MAIN_leader_55-59,,,settle_loss,1,-580,-58.00,leader,2026-04-26 02:42:06 AM ET
KXWTACHALLENGERMATCH-26APR26ALVFAL-ALV,62,0,,WTA_CHALL_leader_60-64,WTA_CHALL_leader_60-64,,,settle_loss,1,-610,-61.00,leader,2026-04-26 03:16:38 AM ET
KXWTACHALLENGERMATCH-26APR26KUDFER-KUD,61,0,,WTA_CHALL_leader_60-64,WTA_CHALL_leader_60-64,,,settle_loss,1,-600,-60.00,leader,2026-04-26 03:32:13 AM ET
KXATPCHALLENGERMATCH-26APR26ZHUTAK-TAK,25,0,,ATP_CHALL_underdog_25-29,ATP_CHALL_underdog_25-29,,,scalp,46,210,21.00,underdog,2026-04-26 03:42:07 AM ET
KXWTAMATCH-26APR25NOSSAM-SAM,39,0,,WTA_MAIN_underdog_35-39,WTA_MAIN_underdog_35-39,,,unknown,0,0,0.00,underdog,2026-04-26 04:09:50 AM ET
KXATPCHALLENGERMATCH-26APR26NICMOE-MOE,49,0,,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,,,settle_loss,1,-480,-48.00,underdog,2026-04-26 04:10:36 AM ET
KXWTAMATCH-26APR26SINMCC-MCC,56,0,,WTA_MAIN_leader_55-59,WTA_MAIN_leader_55-59,,,scalp,66,100,10.00,leader,2026-04-26 04:36:42 AM ET
KXWTAMATCH-26APR25NOSSAM-NOS,61,0,,WTA_MAIN_leader_60-64,WTA_MAIN_leader_60-64,,,unknown,0,0,0.00,leader,2026-04-26 04:46:39 AM ET
KXATPCHALLENGERMATCH-26APR26GUNKRA-GUN,28,0,,ATP_CHALL_underdog_25-29,ATP_CHALL_underdog_25-29,,,settle_loss,1,-270,-27.00,underdog,2026-04-26 05:48:48 AM ET
KXATPMATCH-26APR26FONJOD-FON,46,0,,ATP_MAIN_underdog_45-49,ATP_MAIN_underdog_45-49,,,scalp,50,50,5.00,underdog,2026-04-26 05:55:42 AM ET
KXWTAMATCH-26APR25POTOST-POT,47,0,,WTA_MAIN_underdog_45-49,WTA_MAIN_underdog_45-49,,,scalp,58,-18,-1.80,underdog,2026-04-26 06:09:21 AM ET
KXWTACHALLENGERMATCH-26APR26BELLEW-BEL,60,0,,WTA_CHALL_leader_60-64,WTA_CHALL_leader_60-64,,,scalp,80,200,20.00,leader,2026-04-26 08:12:29 AM ET
KXATPMATCH-26APR26KOPRIN-KOP,41,0,,ATP_MAIN_underdog_40-44,ATP_MAIN_underdog_40-44,,,scalp,50,100,10.00,underdog,2026-04-26 08:56:29 AM ET
