ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1783925149,2026-07-13 02:45:49 AM,22,5888,23,1838
1783925188,2026-07-13 02:46:28 AM,22,6672,23,1838
1783925188,2026-07-13 02:46:28 AM,22,7472,23,1838
1783925312,2026-07-13 02:48:32 AM,22,5088,23,1838
1783925312,2026-07-13 02:48:32 AM,22,5888,23,1838
1783925313,2026-07-13 02:48:33 AM,22,5088,23,1838
1783925317,2026-07-13 02:48:37 AM,22,6672,23,1838
1783925317,2026-07-13 02:48:37 AM,22,7472,23,1838
1783925441,2026-07-13 02:50:41 AM,22,5088,23,1838
1783925441,2026-07-13 02:50:41 AM,22,5888,23,1838
1783925444,2026-07-13 02:50:44 AM,22,6671,23,1838
1783925444,2026-07-13 02:50:44 AM,22,7471,23,1838
1783925568,2026-07-13 02:52:48 AM,22,5088,23,1838
1783925568,2026-07-13 02:52:48 AM,22,5888,23,1838
1783925572,2026-07-13 02:52:52 AM,22,6671,23,1838
1783925572,2026-07-13 02:52:52 AM,22,7471,23,1838
1783925693,2026-07-13 02:54:53 AM,22,5088,23,1838
1783925693,2026-07-13 02:54:53 AM,22,5888,23,1838
1783925697,2026-07-13 02:54:57 AM,22,6671,23,1838
1783925697,2026-07-13 02:54:57 AM,22,7471,23,1838
1783925821,2026-07-13 02:57:01 AM,22,5088,23,1838
1783925821,2026-07-13 02:57:01 AM,22,5888,23,1838
1783925826,2026-07-13 02:57:06 AM,22,6671,23,1838
1783925826,2026-07-13 02:57:06 AM,22,7471,23,1838
1783925950,2026-07-13 02:59:10 AM,22,5088,23,1838
1783925950,2026-07-13 02:59:10 AM,22,5888,23,1838
1783925964,2026-07-13 02:59:24 AM,22,6671,23,1838
1783925964,2026-07-13 02:59:24 AM,22,7471,23,1838
1783926087,2026-07-13 03:01:27 AM,22,5088,23,1838
1783926087,2026-07-13 03:01:27 AM,22,5888,23,1838
1783926091,2026-07-13 03:01:31 AM,22,6671,23,1838
1783926091,2026-07-13 03:01:31 AM,22,7471,23,1838
1783926106,2026-07-13 03:01:46 AM,22,7488,23,1831
1783926106,2026-07-13 03:01:46 AM,22,7488,23,1838
1783926119,2026-07-13 03:01:59 AM,22,7488,23,1831
1783926212,2026-07-13 03:03:32 AM,22,5905,23,1831
1783926217,2026-07-13 03:03:37 AM,22,7488,23,1831
1783926264,2026-07-13 03:04:24 AM,22,7488,23,1823
1783926285,2026-07-13 03:04:45 AM,22,7488,23,1412
1783926285,2026-07-13 03:04:45 AM,22,7488,23,1819
1783926285,2026-07-13 03:04:45 AM,22,7510,23,1412
1783926285,2026-07-13 03:04:45 AM,22,7510,23,522
1783926338,2026-07-13 03:05:38 AM,22,5905,23,522
1783926338,2026-07-13 03:05:38 AM,22,5927,23,522
1783926342,2026-07-13 03:05:42 AM,22,7488,23,522
1783926342,2026-07-13 03:05:42 AM,22,7510,23,522
1783926437,2026-07-13 03:07:17 AM,22,7532,23,522
1783926457,2026-07-13 03:07:37 AM,22,7554,23,522
1783926464,2026-07-13 03:07:44 AM,22,5927,23,522
1783926464,2026-07-13 03:07:44 AM,22,5949,23,522
1783926464,2026-07-13 03:07:44 AM,22,5971,23,522
1783926468,2026-07-13 03:07:48 AM,22,7510,23,522
1783926468,2026-07-13 03:07:48 AM,22,7532,23,522
1783926468,2026-07-13 03:07:48 AM,22,7554,23,522
1783926590,2026-07-13 03:09:50 AM,22,5927,23,522
1783926590,2026-07-13 03:09:50 AM,22,5949,23,522
1783926590,2026-07-13 03:09:50 AM,22,5971,23,522
1783926594,2026-07-13 03:09:54 AM,22,7509,23,522
1783926594,2026-07-13 03:09:54 AM,22,7531,23,522
1783926594,2026-07-13 03:09:54 AM,22,7553,23,522
1783926624,2026-07-13 03:10:24 AM,22,7531,23,522
1783926624,2026-07-13 03:10:24 AM,22,7553,23,522
1783926643,2026-07-13 03:10:43 AM,22,7509,23,522
1783926717,2026-07-13 03:11:57 AM,22,5905,23,522
1783926717,2026-07-13 03:11:57 AM,22,5927,23,522
1783926722,2026-07-13 03:12:02 AM,22,5905,23,522
1783926722,2026-07-13 03:12:02 AM,22,7488,23,522
1783926722,2026-07-13 03:12:02 AM,22,7510,23,522
1783926724,2026-07-13 03:12:04 AM,22,7511,23,522
