category,c,regime,placement_minute,bid_offset_cents,expected_fill_rate,expected_net_roi_pct,fill_src
ATP_CHALL,32,r25_34,180,2,0.5813,17.5267,percell_dip
ATP_CHALL,33,r25_34,180,2,0.587,17.5267,percell_dip
ATP_CHALL,34,r25_34,180,2,0.6328,17.5267,percell_dip
ATP_CHALL,35,r35_44,90,3,0.4839,13.3601,percell_dip
ATP_CHALL,36,r35_44,90,3,0.4929,13.3601,percell_dip
ATP_CHALL,37,r35_44,90,3,0.4935,13.3601,percell_dip
ATP_CHALL,38,r35_44,90,3,0.5011,13.3601,percell_dip
ATP_CHALL,39,r35_44,90,3,0.4845,13.3601,percell_dip
ATP_CHALL,40,r35_44,90,3,0.4738,13.3601,percell_dip
ATP_CHALL,41,r35_44,90,3,0.4711,13.3601,percell_dip
ATP_CHALL,42,r35_44,90,3,0.4759,13.3601,percell_dip
ATP_CHALL,43,r35_44,90,3,0.4827,13.3601,percell_dip
ATP_CHALL,44,r35_44,90,3,0.5061,13.3601,percell_dip
ATP_CHALL,45,r45_54,60,7,0.207,11.4237,percell_dip
ATP_CHALL,46,r45_54,60,7,0.2288,11.4237,percell_dip
ATP_CHALL,47,r45_54,60,7,0.2503,11.4237,percell_dip
ATP_CHALL,48,r45_54,60,7,0.2719,11.4237,percell_dip
ATP_CHALL,49,r45_54,60,7,0.2905,11.4237,percell_dip
ATP_CHALL,50,r45_54,60,7,0.3039,11.4237,percell_dip
ATP_CHALL,51,r45_54,60,7,0.3076,11.4237,percell_dip
ATP_CHALL,52,r45_54,60,7,0.2896,11.4237,percell_dip
ATP_CHALL,53,r45_54,60,7,0.2764,11.4237,percell_dip
ATP_CHALL,54,r45_54,60,7,0.2544,11.4237,percell_dip
ATP_CHALL,55,r55_64,90,4,0.4553,5.5553,percell_dip
ATP_CHALL,56,r55_64,90,4,0.4384,5.5553,percell_dip
ATP_CHALL,57,r55_64,90,4,0.4172,5.5553,percell_dip
ATP_CHALL,58,r55_64,90,4,0.4076,5.5553,percell_dip
ATP_CHALL,59,r55_64,90,4,0.4046,5.5553,percell_dip
ATP_CHALL,60,r55_64,90,4,0.4014,5.5553,percell_dip
ATP_CHALL,61,r55_64,90,4,0.41,5.5553,percell_dip
ATP_CHALL,62,r55_64,90,4,0.4113,5.5553,percell_dip
ATP_CHALL,63,r55_64,90,4,0.412,5.5553,percell_dip
ATP_CHALL,64,r55_64,90,4,0.4269,5.5553,percell_dip
ATP_CHALL,65,r65_74,180,2,0.7286,9.7804,percell_dip
ATP_CHALL,66,r65_74,180,2,0.7257,9.7804,percell_dip
ATP_CHALL,67,r65_74,180,2,0.7255,9.7804,percell_dip
ATP_CHALL,68,r65_74,180,2,0.7103,9.7804,percell_dip
ATP_CHALL,69,r65_74,180,2,0.7185,9.7804,percell_dip
ATP_CHALL,70,r65_74,180,2,0.7238,9.7804,percell_dip
ATP_CHALL,71,r65_74,180,2,0.7268,9.7804,percell_dip
ATP_CHALL,72,r65_74,180,2,0.733,9.7804,percell_dip
ATP_CHALL,73,r65_74,180,2,0.7265,9.7804,percell_dip
ATP_CHALL,74,r65_74,180,2,0.735,9.7804,percell_dip
ATP_CHALL,75,r75_84,90,3,0.5915,6.7934,percell_dip
ATP_CHALL,76,r75_84,90,3,0.6013,6.7934,percell_dip
ATP_CHALL,77,r75_84,90,3,0.6049,6.7934,percell_dip
ATP_CHALL,78,r75_84,90,3,0.6027,6.7934,percell_dip
ATP_CHALL,79,r75_84,90,3,0.6046,6.7934,percell_dip
ATP_CHALL,80,r75_84,90,3,0.6219,6.7934,percell_dip
ATP_CHALL,81,r75_84,90,3,0.6054,6.7934,percell_dip
ATP_CHALL,82,r75_84,90,3,0.6307,6.7934,percell_dip
ATP_CHALL,83,r75_84,90,3,0.6401,6.7934,percell_dip
ATP_CHALL,84,r75_84,90,3,0.6546,6.7934,percell_dip
ATP_CHALL,85,r85_94,120,7,0.4253,1.5118,percell_dip
ATP_CHALL,86,r85_94,120,7,0.4361,1.5118,percell_dip
ATP_CHALL,87,r85_94,120,7,0.449,1.5118,percell_dip
ATP_CHALL,88,r85_94,120,7,0.4748,1.5118,percell_dip
ATP_CHALL,89,r85_94,120,7,0.49,1.5118,percell_dip
ATP_CHALL,90,r85_94,120,7,0.5149,1.5118,percell_dip
ATP_CHALL,91,r85_94,120,7,0.5114,1.5118,percell_dip
ATP_CHALL,92,r85_94,120,7,0.5389,1.5118,percell_dip
ATP_CHALL,93,r85_94,120,7,0.5482,1.5118,percell_dip
ATP_CHALL,94,r85_94,120,7,0.5461,1.5118,percell_dip
WTA_CHALL,5,r05_14,240,2,0.495,102.029,percell_dip
WTA_CHALL,6,r05_14,240,2,0.5001,102.029,percell_dip
WTA_CHALL,7,r05_14,240,2,0.5668,102.029,percell_dip
WTA_CHALL,8,r05_14,240,2,0.6111,102.029,percell_dip
WTA_CHALL,9,r05_14,240,2,0.659,102.029,percell_dip
WTA_CHALL,10,r05_14,240,2,0.7218,102.029,percell_dip
WTA_CHALL,11,r05_14,240,2,0.7161,102.029,percell_dip
WTA_CHALL,12,r05_14,240,2,0.7039,102.029,percell_dip
WTA_CHALL,13,r05_14,240,2,0.684,102.029,percell_dip
WTA_CHALL,14,r05_14,240,2,0.6687,102.029,percell_dip
