category,c,regime,placement_minute,bid_offset_cents,prev_offset,envelope_off60,expected_fill_rate,expected_net_roi_pct,fill_src
WTA_MAIN,47,r45_54,60,2,1,3,0.509,12.9992,conservative
WTA_MAIN,48,r45_54,60,2,1,3,0.5,12.9992,conservative
WTA_MAIN,49,r45_54,60,1,1,3,0.572,12.9992,conservative
WTA_MAIN,50,r45_54,60,1,1,3,0.562,12.9992,conservative
WTA_MAIN,51,r45_54,60,1,1,3,0.572,12.9992,conservative
WTA_MAIN,52,r45_54,60,1,1,3,0.567,12.9992,conservative
WTA_MAIN,53,r45_54,60,1,1,3,0.564,12.9992,conservative
WTA_MAIN,54,r45_54,60,1,1,3,0.561,12.9992,conservative
WTA_MAIN,55,r55_64,120,1,3,3,0.546,11.7037,conservative
WTA_MAIN,56,r55_64,120,1,3,3,0.543,11.7037,conservative
WTA_MAIN,57,r55_64,120,1,3,3,0.555,11.7037,conservative
WTA_MAIN,58,r55_64,120,1,3,3,0.566,11.7037,conservative
WTA_MAIN,59,r55_64,120,1,3,3,0.577,11.7037,conservative
WTA_MAIN,60,r55_64,120,2,3,3,0.512,11.7037,conservative
WTA_MAIN,61,r55_64,120,1,3,3,0.571,11.7037,conservative
WTA_MAIN,62,r55_64,120,1,3,3,0.571,11.7037,conservative
WTA_MAIN,63,r55_64,120,1,3,3,0.576,11.7037,conservative
WTA_MAIN,64,r55_64,120,1,3,3,0.586,11.7037,conservative
WTA_MAIN,65,r65_74,60,1,1,3,0.598,7.0473,conservative
WTA_MAIN,66,r65_74,60,1,1,3,0.597,7.0473,conservative
WTA_MAIN,67,r65_74,60,1,1,3,0.594,7.0473,conservative
WTA_MAIN,68,r65_74,60,1,1,3,0.595,7.0473,conservative
WTA_MAIN,69,r65_74,60,3,1,3,0.503,7.0473,conservative
WTA_MAIN,70,r65_74,60,1,1,3,0.605,7.0473,conservative
WTA_MAIN,71,r65_74,60,1,1,3,0.61,7.0473,conservative
WTA_MAIN,72,r65_74,60,1,1,3,0.598,7.0473,conservative
WTA_MAIN,73,r65_74,60,1,1,3,0.58,7.0473,conservative
WTA_MAIN,74,r65_74,60,1,1,3,0.572,7.0473,conservative
WTA_MAIN,75,r75_84,180,1,3,3,0.569,6.0464,conservative
WTA_MAIN,76,r75_84,180,1,4,4,0.577,6.0464,conservative
WTA_MAIN,77,r75_84,180,1,4,4,0.589,6.0464,conservative
WTA_MAIN,78,r75_84,180,1,4,4,0.589,6.0464,conservative
WTA_MAIN,79,r75_84,180,1,3,3,0.596,6.0464,conservative
WTA_MAIN,80,r75_84,180,1,4,4,0.583,6.0464,conservative
WTA_MAIN,81,r75_84,180,1,4,4,0.581,6.0464,conservative
WTA_MAIN,82,r75_84,180,1,3,3,0.587,6.0464,conservative
WTA_MAIN,83,r75_84,180,1,3,3,0.591,6.0464,conservative
WTA_MAIN,84,r75_84,180,1,3,3,0.585,6.0464,conservative
WTA_MAIN,85,r85_94,120,1,1,3,0.567,4.7271,conservative
WTA_MAIN,86,r85_94,120,1,1,5,0.553,4.7271,conservative
WTA_MAIN,87,r85_94,120,1,1,5,0.54,4.7271,conservative
WTA_MAIN,88,r85_94,120,1,1,7,0.54,4.7271,conservative
WTA_MAIN,89,r85_94,120,1,1,8,0.544,4.7271,conservative
WTA_MAIN,90,r85_94,120,1,1,7,0.541,4.7271,conservative
WTA_MAIN,91,r85_94,120,1,1,8,0.55,4.7271,conservative
WTA_MAIN,92,r85_94,120,1,1,8,0.538,4.7271,conservative
WTA_MAIN,93,r85_94,120,1,1,8,0.52,4.7271,conservative
WTA_MAIN,94,r85_94,120,1,1,8,0.504,4.7271,conservative
ATP_CHALL,5,r05_14,240,1,2,2,0.377,82.0944,conservative
ATP_CHALL,6,r05_14,240,1,2,2,0.401,82.0944,conservative
ATP_CHALL,7,r05_14,240,1,2,2,0.418,82.0944,conservative
ATP_CHALL,8,r05_14,240,1,2,2,0.431,82.0944,conservative
ATP_CHALL,9,r05_14,240,1,3,3,0.462,82.0944,conservative
ATP_CHALL,10,r05_14,240,1,3,3,0.488,82.0944,conservative
ATP_CHALL,11,r05_14,240,1,3,3,0.511,82.0944,conservative
ATP_CHALL,12,r05_14,240,1,3,3,0.544,82.0944,conservative
ATP_CHALL,13,r05_14,240,1,3,3,0.555,82.0944,conservative
ATP_CHALL,14,r05_14,240,1,3,3,0.572,82.0944,conservative
ATP_CHALL,15,r15_24,240,1,2,3,0.578,45.5096,conservative
ATP_CHALL,16,r15_24,240,1,2,3,0.577,45.5096,conservative
ATP_CHALL,17,r15_24,240,1,2,3,0.585,45.5096,conservative
ATP_CHALL,18,r15_24,240,1,2,3,0.58,45.5096,conservative
ATP_CHALL,19,r15_24,240,1,2,3,0.581,45.5096,conservative
ATP_CHALL,20,r15_24,240,1,2,3,0.593,45.5096,conservative
ATP_CHALL,21,r15_24,240,1,2,3,0.582,45.5096,conservative
ATP_CHALL,22,r15_24,240,1,2,3,0.589,45.5096,conservative
ATP_CHALL,23,r15_24,240,1,2,3,0.595,45.5096,conservative
ATP_CHALL,24,r15_24,240,1,2,3,0.588,45.5096,conservative
ATP_CHALL,25,r25_34,180,1,2,3,0.592,17.5267,conservative
ATP_CHALL,26,r25_34,180,1,2,3,0.585,17.5267,conservative
ATP_CHALL,27,r25_34,180,1,2,3,0.57,17.5267,conservative
ATP_CHALL,28,r25_34,180,1,2,3,0.559,17.5267,conservative
ATP_CHALL,29,r25_34,180,1,2,3,0.551,17.5267,conservative
ATP_CHALL,30,r25_34,180,1,2,3,0.554,17.5267,conservative
ATP_CHALL,31,r25_34,180,1,2,3,0.546,17.5267,conservative
ATP_CHALL,32,r25_34,180,1,2,3,0.547,17.5267,conservative
ATP_CHALL,33,r25_34,180,1,2,3,0.557,17.5267,conservative
ATP_CHALL,34,r25_34,180,1,2,3,0.548,17.5267,conservative
ATP_CHALL,35,r35_44,90,1,3,3,0.548,13.3601,conservative
ATP_CHALL,36,r35_44,90,1,3,3,0.561,13.3601,conservative
ATP_CHALL,37,r35_44,90,1,3,3,0.554,13.3601,conservative
ATP_CHALL,38,r35_44,90,1,3,3,0.554,13.3601,conservative
ATP_CHALL,39,r35_44,90,1,3,3,0.563,13.3601,conservative
ATP_CHALL,40,r35_44,90,1,3,3,0.558,13.3601,conservative
ATP_CHALL,41,r35_44,90,1,3,3,0.547,13.3601,conservative
ATP_CHALL,42,r35_44,90,1,3,3,0.553,13.3601,conservative
ATP_CHALL,43,r35_44,90,1,3,3,0.546,13.3601,conservative
ATP_CHALL,44,r35_44,90,1,3,3,0.532,13.3601,conservative
ATP_CHALL,45,r45_54,60,1,3,3,0.543,11.4237,conservative
ATP_CHALL,46,r45_54,60,1,3,3,0.539,11.4237,conservative
ATP_CHALL,47,r45_54,60,1,4,4,0.529,11.4237,conservative
ATP_CHALL,48,r45_54,60,1,4,4,0.528,11.4237,conservative
ATP_CHALL,49,r45_54,60,1,4,4,0.505,11.4237,conservative
ATP_CHALL,50,r45_54,60,1,4,4,0.484,11.4237,conservative
ATP_CHALL,51,r45_54,60,1,4,4,0.483,11.4237,conservative
ATP_CHALL,52,r45_54,60,1,4,4,0.478,11.4237,conservative
ATP_CHALL,53,r45_54,60,1,4,4,0.473,11.4237,conservative
ATP_CHALL,54,r45_54,60,1,4,4,0.467,11.4237,conservative
ATP_CHALL,55,r55_64,90,1,4,4,0.459,5.5553,conservative
ATP_CHALL,56,r55_64,90,1,4,4,0.457,5.5553,conservative
ATP_CHALL,57,r55_64,90,1,4,4,0.466,5.5553,conservative
ATP_CHALL,58,r55_64,90,1,4,4,0.475,5.5553,conservative
ATP_CHALL,59,r55_64,90,1,4,4,0.483,5.5553,conservative
ATP_CHALL,60,r55_64,90,1,4,4,0.48,5.5553,conservative
ATP_CHALL,61,r55_64,90,1,4,4,0.474,5.5553,conservative
ATP_CHALL,62,r55_64,90,1,4,4,0.471,5.5553,conservative
ATP_CHALL,63,r55_64,90,1,4,4,0.47,5.5553,conservative
ATP_CHALL,64,r55_64,90,1,4,4,0.475,5.5553,conservative
ATP_CHALL,65,r65_74,180,1,2,4,0.479,9.7804,conservative
ATP_CHALL,66,r65_74,180,1,2,4,0.471,9.7804,conservative
ATP_CHALL,67,r65_74,180,1,2,4,0.466,9.7804,conservative
ATP_CHALL,68,r65_74,180,1,2,4,0.464,9.7804,conservative
ATP_CHALL,69,r65_74,180,1,2,4,0.469,9.7804,conservative
ATP_CHALL,70,r65_74,180,1,2,4,0.483,9.7804,conservative
ATP_CHALL,71,r65_74,180,1,2,4,0.493,9.7804,conservative
ATP_CHALL,72,r65_74,180,1,2,4,0.491,9.7804,conservative
ATP_CHALL,73,r65_74,180,1,2,4,0.49,9.7804,conservative
ATP_CHALL,74,r65_74,180,1,2,4,0.49,9.7804,conservative
ATP_CHALL,75,r75_84,90,1,3,4,0.498,6.7934,conservative
ATP_CHALL,76,r75_84,90,1,3,4,0.514,6.7934,conservative
ATP_CHALL,77,r75_84,90,1,3,5,0.528,6.7934,conservative
ATP_CHALL,78,r75_84,90,1,3,5,0.528,6.7934,conservative
ATP_CHALL,79,r75_84,90,1,3,5,0.521,6.7934,conservative
ATP_CHALL,80,r75_84,90,1,3,5,0.505,6.7934,conservative
ATP_CHALL,81,r75_84,90,1,3,6,0.501,6.7934,conservative
ATP_CHALL,82,r75_84,90,1,3,6,0.51,6.7934,conservative
ATP_CHALL,83,r75_84,90,1,3,6,0.521,6.7934,conservative
ATP_CHALL,84,r75_84,90,1,3,6,0.53,6.7934,conservative
ATP_CHALL,85,r85_94,120,1,6,6,0.533,1.5118,conservative
ATP_CHALL,86,r85_94,120,1,7,8,0.53,1.5118,conservative
ATP_CHALL,87,r85_94,120,1,7,8,0.521,1.5118,conservative
ATP_CHALL,88,r85_94,120,1,7,8,0.517,1.5118,conservative
ATP_CHALL,89,r85_94,120,1,7,8,0.516,1.5118,conservative
ATP_CHALL,90,r85_94,120,1,7,8,0.514,1.5118,conservative
ATP_CHALL,91,r85_94,120,1,7,8,0.513,1.5118,conservative
ATP_CHALL,92,r85_94,120,1,7,8,0.509,1.5118,conservative
ATP_CHALL,93,r85_94,120,1,7,8,0.493,1.5118,conservative
ATP_CHALL,94,r85_94,120,1,7,8,0.488,1.5118,conservative
WTA_CHALL,5,r05_14,240,1,2,2,0.468,102.029,conservative
WTA_CHALL,6,r05_14,240,1,2,2,0.483,102.029,conservative
WTA_CHALL,7,r05_14,240,1,2,2,0.518,102.029,conservative
WTA_CHALL,8,r05_14,240,1,2,2,0.529,102.029,conservative
WTA_CHALL,9,r05_14,240,1,2,2,0.561,102.029,conservative
WTA_CHALL,10,r05_14,240,1,2,3,0.595,102.029,conservative
WTA_CHALL,11,r05_14,240,1,2,3,0.601,102.029,conservative
WTA_CHALL,12,r05_14,240,2,2,3,0.543,102.029,conservative
WTA_CHALL,13,r05_14,240,2,2,3,0.551,102.029,conservative
WTA_CHALL,14,r05_14,240,1,2,3,0.613,102.029,conservative
WTA_CHALL,15,r15_24,240,1,3,3,0.612,54.1456,conservative
WTA_CHALL,16,r15_24,240,1,3,3,0.61,54.1456,conservative
WTA_CHALL,17,r15_24,240,1,3,3,0.629,54.1456,conservative
WTA_CHALL,18,r15_24,240,1,2,2,0.621,54.1456,conservative
WTA_CHALL,19,r15_24,240,1,2,2,0.626,54.1456,conservative
WTA_CHALL,20,r15_24,240,1,3,3,0.635,54.1456,conservative
WTA_CHALL,21,r15_24,240,1,3,3,0.625,54.1456,conservative
WTA_CHALL,22,r15_24,240,1,3,3,0.621,54.1456,conservative
WTA_CHALL,23,r15_24,240,1,3,3,0.621,54.1456,conservative
