ticker_idx,cell,regime,anchor,offset,match_start_ts
1655658,36,r35_44,36,3,1769688480.0
1655193,65,r65_74,65,2,1769688480.0
1653238,59,r55_64,59,2,1769688900.0
1653777,44,r35_44,44,1,1769688900.0
1651782,75,r75_84,75,1,1769690100.0
1654286,56,r55_64,56,2,1769690340.0
1654740,47,r45_54,47,2,1769690340.0
1664887,49,r45_54,49,2,1769691420.0
1657434,51,r45_54,51,5,1769692140.0
1658402,56,r55_64,56,2,1769694900.0
1679045,29,r25_34,29,2,1769695080.0
1677889,24,r15_24,24,2,1769696220.0
1678153,77,r75_84,77,1,1769696220.0
1656113,39,r35_44,39,2,1769696400.0
1665273,40,r35_44,40,2,1769699460.0
1657957,36,r35_44,36,4,1769699940.0
1659519,70,r65_74,70,1,1769703300.0
1678734,31,r25_34,31,2,1769703360.0
1657077,47,r45_54,47,1,1769705520.0
1656742,61,r55_64,61,6,1769705520.0
1674587,47,r45_54,47,1,1769710260.0
1674245,56,r55_64,56,2,1769710260.0
1672407,58,r55_64,58,2,1769710380.0
1663899,16,r15_24,16,1,1769710440.0
1670795,26,r25_34,26,4,1769710440.0
1664220,85,r85_94,85,1,1769710440.0
1677180,40,r35_44,40,6,1769713380.0
1662501,62,r55_64,62,1,1769714220.0
1662048,42,r35_44,42,5,1769714220.0
1672758,20,r15_24,20,4,1769717700.0
1673188,84,r75_84,84,1,1769717700.0
1652857,80,r75_84,80,1,1769717880.0
1652457,20,r15_24,20,1,1769717880.0
1673602,20,r15_24,20,1,1769717940.0
1673933,79,r75_84,79,1,1769717940.0
1669102,61,r55_64,61,2,1769719560.0
1667514,62,r55_64,62,1,1769720640.0
1667892,42,r35_44,42,2,1769720640.0
1661756,94,r85_94,94,2,1769725440.0
1661452,8,r05_14,8,2,1769725440.0
1675388,87,r85_94,87,1,1769727180.0
1676376,66,r65_74,66,4,1769734080.0
1676776,37,r35_44,37,5,1769734080.0
1671594,50,r45_54,50,2,1769744760.0
1651258,75,r75_84,75,3,1769744940.0
1666928,66,r65_74,66,1,1769749740.0
1679596,41,r35_44,41,2,1769751900.0
1697887,48,r45_54,48,3,1769768100.0
1686216,50,r45_54,50,2,1769775780.0
1692109,52,r45_54,52,2,1769779740.0
1691663,51,r45_54,51,1,1769779740.0
1684974,41,r35_44,41,3,1769781660.0
1699467,40,r35_44,40,2,1769783520.0
1680922,42,r35_44,42,2,1769784000.0
1682230,57,r55_64,57,1,1769784780.0
1681836,46,r45_54,46,2,1769784780.0
1683074,42,r35_44,42,2,1769785260.0
1698680,59,r55_64,59,2,1769787300.0
1698419,45,r45_54,45,2,1769787300.0
1693420,29,r25_34,29,1,1769788500.0
1685304,71,r65_74,71,1,1769791320.0
1685761,32,r25_34,32,3,1769791320.0
1696570,21,r15_24,21,1,1769793060.0
1696957,81,r75_84,81,1,1769793060.0
1699212,79,r75_84,79,2,1769793840.0
1698958,26,r25_34,26,2,1769793840.0
1684075,66,r65_74,66,3,1769800200.0
1683519,36,r35_44,36,2,1769800200.0
1687645,22,r15_24,22,3,1769801700.0
1687295,81,r75_84,81,2,1769801700.0
1692988,78,r75_84,78,2,1769804880.0
1691091,44,r35_44,44,2,1769805360.0
1690541,58,r55_64,58,2,1769805360.0
1688685,71,r65_74,71,2,1769810820.0
1688001,32,r25_34,32,2,1769810820.0
1694757,40,r35_44,40,3,1769812020.0
1689982,68,r65_74,68,2,1769821980.0
1700710,68,r65_74,68,2,1769830740.0
1695886,40,r35_44,40,3,1769830800.0
1703193,67,r65_74,67,1,1769857920.0
1702641,34,r25_34,34,1,1769857920.0
1706764,52,r45_54,52,1,1769861340.0
1713622,73,r65_74,73,1,1769868840.0
1713132,30,r25_34,30,2,1769868840.0
1718616,61,r55_64,61,1,1769871840.0
1718041,42,r35_44,42,6,1769871840.0
1716408,28,r25_34,28,4,1769871900.0
1716872,76,r75_84,76,2,1769871900.0
1711201,50,r45_54,50,6,1769872800.0
1711802,51,r45_54,51,1,1769872800.0
1717690,62,r55_64,62,2,1769877300.0
1704337,67,r65_74,67,2,1769883000.0
1703745,37,r35_44,37,3,1769883000.0
1707919,76,r75_84,76,3,1769898360.0
1715271,37,r35_44,37,2,1769905200.0
1715819,65,r65_74,65,1,1769905200.0
1709525,50,r45_54,50,4,1769906820.0
1704945,80,r75_84,80,5,1769907540.0
1719435,42,r35_44,42,2,1769908320.0
1719206,63,r55_64,63,4,1769908320.0
1709036,74,r65_74,74,2,1769912220.0
1709271,30,r25_34,30,2,1769912220.0
1709832,90,r85_94,90,2,1769912940.0
1710158,13,r05_14,13,2,1769912940.0
1702261,87,r85_94,87,6,1769914680.0
1714682,70,r65_74,70,2,1769917080.0
1705490,18,r15_24,18,2,1769917560.0
1705863,86,r85_94,86,2,1769917560.0
1706204,94,r85_94,94,1,1769919180.0
1701258,44,r35_44,44,6,1769922060.0
1701592,62,r55_64,62,2,1769922060.0
1710868,78,r75_84,78,3,1769924400.0
1712763,26,r25_34,26,2,1769926620.0
725448,17,r15_24,17,2,1769944800.0
725861,86,r85_94,86,2,1769944800.0
753571,5,r05_14,4,2,1769946600.0
759307,31,r25_34,31,2,1769947560.0
759793,69,r65_74,69,2,1769947560.0
723911,79,r75_84,79,3,1769948640.0
724069,31,r25_34,31,4,1769948640.0
730145,39,r35_44,39,3,1769954280.0
729929,62,r55_64,62,2,1769954280.0
734459,16,r15_24,16,2,1769956500.0
733988,88,r85_94,88,2,1769956500.0
767581,30,r25_34,30,1,1769957280.0
768113,70,r65_74,70,1,1769957280.0
769712,54,r45_54,54,3,1769957760.0
770089,53,r45_54,53,3,1769957760.0
748928,52,r45_54,52,2,1769959560.0
721176,61,r55_64,61,3,1769960340.0
766808,31,r25_34,31,3,1769961000.0
767199,69,r65_74,69,4,1769961000.0
741204,94,r85_94,97,2,1769961180.0
740734,5,r05_14,4,2,1769961180.0
765196,61,r55_64,61,4,1769961480.0
765705,40,r35_44,40,2,1769961480.0
720291,67,r65_74,67,2,1769962260.0
719825,54,r45_54,54,3,1769962260.0
761344,28,r25_34,28,2,1769962740.0
761162,79,r75_84,79,3,1769962740.0
770902,94,r85_94,96,1,1769963160.0
770469,6,r05_14,6,2,1769963160.0
730714,62,r55_64,62,2,1769964720.0
730362,37,r35_44,37,3,1769964720.0
718257,61,r55_64,61,3,1769964840.0
717776,45,r45_54,45,3,1769964840.0
761985,74,r65_74,74,2,1769965140.0
761528,29,r25_34,29,1,1769965140.0
757165,14,r05_14,14,3,1769965680.0
757774,89,r85_94,89,1,1769965680.0
750025,48,r45_54,48,2,1769968020.0
750460,54,r45_54,54,2,1769968020.0
768653,16,r15_24,16,2,1769969100.0
766211,8,r05_14,8,2,1769969340.0
722357,33,r25_34,33,3,1769971680.0
728086,54,r45_54,54,2,1769972220.0
728501,53,r45_54,53,2,1769972220.0
764668,40,r35_44,40,2,1769973180.0
764144,64,r55_64,64,2,1769973180.0
731976,35,r35_44,35,2,1769973600.0
732120,66,r65_74,66,2,1769973600.0
739514,79,r75_84,79,2,1769976780.0
739086,11,r05_14,11,1,1769976780.0
771759,67,r65_74,67,2,1769977200.0
716640,12,r05_14,12,2,1769977200.0
727042,53,r45_54,53,2,1769982060.0
736468,88,r85_94,88,2,1769984460.0
744028,75,r75_84,75,2,1769984880.0
743528,26,r25_34,26,2,1769984880.0
737834,68,r65_74,68,1,1769986380.0
