fill_ts_ET,player,category,fill_cent,source,play_type,reference_source,real_start_source,scheduled_ET,real_ET,bucket,event
07:49:48,Raul Brancaccio,ATP_MAIN,23,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BRAGEA
07:50:28,Fabian Marozsan,ATP_MAIN,54,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22MARMOL
07:53:16,Johannus Monday,ATP_MAIN,34,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22MONSCH
08:02:42,August Holmgren,ATP_MAIN,53,engagement,v4_engagement_join,engagement_join,latch,09:00:00,10:26:41,PREMARKET,KXATPMATCH-26JUN22BROHOL
08:02:49,McCartney Kessler,WTA_MAIN,48,engagement,v4_engagement_join,engagement_join,scheduled_fallback,10:30:00,,PREMARKET,KXWTAMATCH-26JUN22KESKAS
08:03:33,PRA?,ATP_MAIN,24,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22PRAEVA
08:04:10,TOP?,ATP_CHALL,58,staircase,v4_reconciled,staircase,latch,07:00:00,08:08:04,CORRIDOR,KXATPCHALLENGERMATCH-26JUN22SIMTOP
08:06:42,Elisabetta Cocciaretto,WTA_MAIN,38,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22TOMCOC
08:08:52,Emiliana Arango,WTA_MAIN,39,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22JOIARA
08:09:55,Oliver Tarvet,ATP_MAIN,47,staircase,v4_resting_maker,staircase,latch,07:30:00,08:09:54,POST_REAL,KXATPMATCH-26JUN22TARBOL
08:14:11,Juan Manuel Cerundolo,ATP_MAIN,19,staircase,v4_reconciled,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22COLCER
08:14:35,Maya Joint,WTA_MAIN,58,staircase,v4_reconciled,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22JOIARA
08:14:58,EVA?,ATP_MAIN,75,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22PRAEVA
