event,player,category,side,posted,filled,bucket,our_bid,fill_cent,fv_close_bid,fv_close_ask,fv_close_last,close_spread,fv_flag,fill_minus_fv_bid,fill_minus_fv_ask,fill_minus_fv_last,our_bid_minus_close_bid,direction,leg_status,last_price
KXATPMATCH-26JUN22DENZHO,Den Ouden G.,ATP_MAIN,DEN,True,False,,40,,42,44,44,2,fallback_last_at_sched,,,,-2,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22DENZHO,Zhou Y.,ATP_MAIN,ZHO,True,True,PREMARKET,57,57,56,57,57,1,5min_median,1,0,0,1,fade,filled,
KXATPMATCH-26JUN22CRAROD,Oliver Crawford,ATP_MAIN,CRA,True,True,POST,31,31,31,32,32,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22CRAROD,Jurij Rodionov,ATP_MAIN,ROD,True,False,,67,,68,70,70,2,fallback_last_at_sched,,,,-1,firm,bid_unfilled_sellflow_reached,
KXATPMATCH-26JUN22CORBON,Federico Coria,ATP_MAIN,COR,True,True,POST,24,24,25,27,27,2,fallback_last_at_sched,-1,-3,-3,-1,firm,filled,
KXATPMATCH-26JUN22CORBON,Oliver Bonding,ATP_MAIN,BON,True,True,POST,73,73,73,76,76,3,fallback_last_at_sched,0,-3,-3,0,flat,filled,
KXATPMATCH-26JUN22COMMOR,Comesana F.,ATP_MAIN,COM,True,True,PREMARKET,67,67,60,63,64,3,5min_median,7,4,3,7,fade,filled,
KXATPMATCH-26JUN22COMMOR,Moro Canas A.,ATP_MAIN,MOR,True,True,POST,32,32,37,39,36,2,fallback_last_at_sched,-5,-7,-4,-5,firm,filled,
KXATPMATCH-26JUN22CLAPEL,Jay Clarke,ATP_MAIN,CLA,True,True,POST,71,71,71,73,73,2,fallback_last_at_sched,0,-2,-2,0,flat,filled,
KXATPMATCH-26JUN22CLAPEL,Andrea Pellegrino,ATP_MAIN,PEL,True,True,POST,28,28,28,29,29,1,fallback_last_at_sched,0,-1,-1,0,fade,filled,
KXATPMATCH-26JUN22CHIDOU,Chidekh C.,ATP_MAIN,CHI,True,True,POST,71,71,72,73,73,1,5min_median,-1,-2,-2,-1,firm,filled,
KXATPMATCH-26JUN22CHIDOU,Dougaz A.,ATP_MAIN,DOU,True,True,POST,26,26,27,28,28,1,fallback_last_at_sched,-1,-2,-2,-1,firm,filled,
KXATPMATCH-26JUN22CECBAR,Cecchinato M.,ATP_MAIN,CEC,True,True,POST,12,12,13,15,14,2,fallback_last_at_sched,-1,-3,-2,-1,flat,filled,
KXATPMATCH-26JUN22CECBAR,Barrios Vera M.,ATP_MAIN,BAR,True,True,POST,85,85,85,86,,1,no_trades,0,-1,,0,,filled,
KXATPMATCH-26JUN22CEBCAR,Ceban M.,ATP_MAIN,CEB,True,True,POST,11,11,12,13,13,1,5min_median,-1,-2,-2,-1,flat,filled,
KXATPMATCH-26JUN22CEBCAR,Carballes Baena R.,ATP_MAIN,CAR,True,True,PREMARKET,87,87,87,88,88,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22CADCIN,Gianluca Cadenasso,ATP_MAIN,CAD,True,True,POST,27,27,27,28,29,1,fallback_last_at_sched,0,-1,-2,0,flat,filled,
KXATPMATCH-26JUN22CADCIN,Federico Cina,ATP_MAIN,CIN,True,False,,69,,72,74,70,2,fallback_last_at_sched,,,,-3,flat,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22BUTECH,Edas Butvilas,ATP_MAIN,BUT,True,False,,69,,69,70,70,1,fallback_last_at_sched,,,,0,,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22BUTECH,Moez Echargui,ATP_MAIN,ECH,True,True,POST,30,30,30,31,31,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22BUDREI,Budkov Kjaer N.,ATP_MAIN,BUD,True,True,POST,85,85,85,87,,2,no_trades,0,-2,,0,,filled,
KXATPMATCH-26JUN22BUDREI,Reis Da Silva J.,ATP_MAIN,REI,True,True,POST,13,13,14,16,15,2,fallback_last_at_sched,-1,-3,-2,-1,fade,filled,
KXATPMATCH-26JUN22BROHOL,Liam Broady,ATP_MAIN,BRO,True,False,,46,,48,49,49,1,5min_median,,,,-2,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22BROHOL,August Holmgren,ATP_MAIN,HOL,True,True,PREMARKET,53,53,50,52,52,2,fallback_last_at_sched,3,1,1,3,fade,filled,
KXATPMATCH-26JUN22BRAGEA,Raul Brancaccio,ATP_MAIN,BRA,True,True,POST,23,23,24,25,24,1,fallback_last_at_sched,-1,-2,-1,-1,flat,filled,
