day,fill_ts_ET,player,category,fill_cent,source,real_start_source,bucket,event
20260622,06:10:49,Glinka D.,ATP_MAIN,53,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22GLICOP
20260622,06:10:57,Cadenasso G.,ATP_MAIN,27,reconcile,latch,CORRIDOR,KXATPMATCH-26JUN22CADCIN
20260622,06:11:20,Lajal M.,ATP_MAIN,73,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22LAJPAV
20260622,06:11:25,Wong C.,ATP_MAIN,58,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22WONGOJ
20260622,06:11:59,Dougaz A.,ATP_MAIN,26,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22CHIDOU
20260622,06:12:52,Ethan Quinn,ATP_MAIN,67,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22QUIROY
20260622,06:20:37,Corentin Moutet,ATP_MAIN,56,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22MOUFUC
20260622,06:23:14,Zheng M.,ATP_MAIN,68,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22SQUZHE
20260622,06:28:12,Safiullin R.,ATP_MAIN,66,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22SAFMCC
20260622,06:28:37,MAN?,ATP_MAIN,33,engagement,latch,PREMARKET,KXATPMATCH-26JUN22MANMAY
20260622,06:35:44,Chidekh C.,ATP_MAIN,71,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22CHIDOU
20260622,06:44:05,Barrena A.,ATP_MAIN,20,staircase,latch,PREMARKET,KXATPMATCH-26JUN22SKABAR
20260622,07:01:25,Goffin D.,ATP_MAIN,57,engagement,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN22GUEGOF
20260622,07:13:32,Sinja Kraus,WTA_MAIN,28,staircase,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN22KRAKAL
20260622,07:15:10,Bertola R.,ATP_MAIN,59,reconcile,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN22DRABER
20260622,07:15:10,Smith C.,ATP_MAIN,81,reconcile,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22ANDSMI
20260622,07:15:55,SAI?,ATP_MAIN,13,staircase,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN22SAIKWON
20260622,07:21:52,KWON?,ATP_MAIN,85,engagement,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN22SAIKWON
20260622,07:23:31,Comesana F.,ATP_MAIN,67,staircase,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN22COMMOR
20260622,07:26:05,Cretu C.,ATP_CHALL,71,staircase,latch,CORRIDOR,KXATPCHALLENGERMATCH-26JUN22CRESAN
20260622,07:30:34,Moro Canas A.,ATP_MAIN,32,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22COMMOR
20260622,07:31:37,Antonia Ruzic,WTA_MAIN,58,staircase,latch,CORRIDOR,KXWTAMATCH-26JUN22RUZMAR
20260622,07:31:56,Ficovich J.,ATP_MAIN,36,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22SMIFIC
20260622,07:32:23,Bolt A.,ATP_MAIN,53,fallback,latch,CORRIDOR,KXATPMATCH-26JUN22TARBOL
20260622,07:34:53,Smith K.,ATP_MAIN,62,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22SMIFIC
20260622,07:36:38,Basilashvili N.,ATP_MAIN,63,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22BASYME
20260622,07:37:58,Zhou Y.,ATP_MAIN,57,engagement,latch,PREMARKET,KXATPMATCH-26JUN22DENZHO
20260622,07:39:33,Jacquet K.,ATP_MAIN,89,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22BOSJAC
20260622,07:40:42,Onclin G.,ATP_MAIN,86,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22GIUONC
20260622,07:41:47,Guerrieri A.,ATP_MAIN,41,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22GUEGOF
20260622,07:45:56,Giustino L.,ATP_MAIN,12,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22GIUONC
20260622,07:46:27,Alex Molcan,ATP_MAIN,44,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22MARMOL
20260622,07:46:33,Hamad Medjedovic,ATP_MAIN,73,reconcile,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22KECMED
20260622,07:47:15,Hsu Y.,ATP_MAIN,39,staircase,latch,CORRIDOR,KXATPMATCH-26JUN22HSUSAK
20260622,07:47:47,Schoolkate T.,ATP_MAIN,64,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22MONSCH
20260622,07:48:28,Boscardin Dias P.,ATP_MAIN,10,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22BOSJAC
20260622,07:49:47,Gea A.,ATP_MAIN,76,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22BRAGEA
20260622,07:49:48,Brancaccio R.,ATP_MAIN,23,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22BRAGEA
20260622,07:50:28,Fabian Marozsan,ATP_MAIN,54,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22MARMOL
20260622,07:53:16,Monday J.,ATP_MAIN,34,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22MONSCH
20260622,08:02:42,Holmgren A.,ATP_MAIN,53,engagement,latch,PREMARKET,KXATPMATCH-26JUN22BROHOL
20260622,08:02:49,McCartney Kessler,WTA_MAIN,48,engagement,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN22KESKAS
20260622,08:03:33,Prado Angelo J.,ATP_MAIN,24,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22PRAEVA
20260622,08:04:10,Topo M.,ATP_CHALL,58,staircase,latch,CORRIDOR,KXATPCHALLENGERMATCH-26JUN22SIMTOP
20260622,08:06:42,Elisabetta Cocciaretto,WTA_MAIN,38,fallback,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN22TOMCOC
20260622,08:08:52,Emiliana Arango,WTA_MAIN,39,fallback,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN22JOIARA
20260622,08:09:55,Tarvet O.,ATP_MAIN,47,staircase,latch,POST_REAL,KXATPMATCH-26JUN22TARBOL
20260622,08:14:11,Juan Manuel Cerundolo,ATP_MAIN,19,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22COLCER
20260622,08:14:35,Maya Joint,WTA_MAIN,58,staircase,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN22JOIARA
