category,player,match,is_anchor,window1_open_ET,scheduled_ET,realstart_ET,real_start_source,bid_min,bid_max,bid_band_width,bid_at_window1,bid_at_scheduled,bid_at_realstart,bid_precorridor_width,bid_corridor_width,bid_net_direction,bid_where_motion_corridorfrac,ask_min,ask_max,ask_band_width,ask_at_window1,ask_at_scheduled,ask_at_realstart,ask_precorridor_width,ask_corridor_width,ask_net_direction,ask_where_motion_corridorfrac,last_min,last_max,last_band_width,last_at_window1,last_at_scheduled,last_at_realstart,last_precorridor_width,last_corridor_width,last_net_direction,last_where_motion_corridorfrac,taker_buy_vol,taker_sell_vol,our_bid_path,our_fill_cent
ATP_CHALL,KRU?,26JUN22TOBKRU,,03:00:00,07:00:00,07:00:00,scheduled_fallback,62,65,3,,65,65,3,,0,,64,66,2,,66,66,2,,0,,64,66,2,,66,66,2,,0,,14212,50,staircase:57->58->59->60->61,61
ATP_CHALL,TOB?,26JUN22TOBKRU,,03:00:00,07:00:00,07:00:00,scheduled_fallback,35,36,1,,35,35,1,,0,,36,38,2,,36,36,2,,0,,,,,,,,,,0,,0,0,staircase:30->31->32->33->34->35,35
ATP_CHALL,HER?,26JUN22TORHER,,10:00:00,14:00:00,14:00:00,scheduled_fallback,17,23,6,,18,18,6,,0,,19,25,6,,19,19,6,,0,,19,24,5,,19,19,5,,0,,645,167,engagement_join:23,23
ATP_CHALL,TOR?,26JUN22TORHER,,10:00:00,14:00:00,14:00:00,scheduled_fallback,75,82,7,,82,82,7,,0,,77,83,6,,83,83,6,,0,,77,83,6,,82,82,6,,0,,1105,198,engagement_join:75->78,78
ATP_CHALL,RUB?,26JUN22TURRUB,,00:00:00,04:00:00,04:13:12,latch,14,29,15,,26,14,0,15,0,1.0,16,36,20,,29,16,2,20,0,1.0,17,31,14,,28,17,1,14,0,1.0,896,298,,26
ATP_CHALL,TUR?,26JUN22TURRUB,,00:00:00,04:00:00,04:13:12,latch,67,84,17,,71,84,3,17,0,1.0,71,85,14,,75,85,2,14,0,1.0,71,84,13,,76,84,2,13,0,1.0,1187,184,,
ATP_CHALL,VIL?,26JUN22VILVIL2,,05:05:00,09:05:00,09:05:00,scheduled_fallback,7,8,1,,8,8,1,,0,,94,95,1,,94,94,1,,0,,,,,,,,,,0,,0,0,,
ATP_CHALL,VIL2?,26JUN22VILVIL2,,05:05:00,09:05:00,09:05:00,scheduled_fallback,5,6,1,,5,5,1,,0,,91,95,4,,92,92,4,,0,,,,,,,,,,0,,0,0,,
ATP_CHALL,MAR?,26JUN22ZANMAR,,05:30:00,09:30:00,09:30:00,scheduled_fallback,34,37,3,,37,37,3,,0,,38,39,1,,39,39,1,,0,,38,38,0,,38,38,0,,0,0.0,13,0,engagement_join:34->37,37
ATP_CHALL,ZAN?,26JUN22ZANMAR,,05:30:00,09:30:00,09:30:00,scheduled_fallback,60,63,3,,61,61,3,,0,,64,65,1,,64,64,1,,0,,65,65,0,,65,65,0,,0,0.0,18,0,staircase:54->55->56->57->58->59,59
ATP_MAIN,AND?,26JUN22ANDSMI,,02:00:00,06:00:00,06:00:00,scheduled_fallback,17,17,0,,17,17,0,,0,0.0,18,19,1,,18,18,1,,0,,18,18,0,,18,18,0,,0,0.0,93,0,engagement_join:17->17,17
ATP_MAIN,SMI?,26JUN22ANDSMI,,02:00:00,06:00:00,06:00:00,scheduled_fallback,81,84,3,,84,84,3,,0,,83,85,2,,85,85,2,,0,,83,83,0,,83,83,0,,0,0.0,100,0,engagement_join:81->75->82->82->82,81
ATP_MAIN,ARN?,26JUN22ARNMAR,,06:00:00,10:00:00,10:00:00,scheduled_fallback,50,51,1,,50,50,1,,0,,52,53,1,,52,52,1,,0,,51,52,1,,51,51,1,,0,,445,5,engagement_join:51->51,51
ATP_MAIN,MAR?,26JUN22ARNMAR,,06:00:00,10:00:00,10:00:00,scheduled_fallback,47,49,2,,49,49,2,,0,,48,51,3,,50,50,3,,0,,48,51,3,,50,50,3,,0,,1401,0,engagement_join:47->49,49
ATP_MAIN,Nikoloz Basilashvili,26JUN22BASYME,,03:30:00,07:30:00,07:30:00,scheduled_fallback,63,63,0,,63,63,0,,0,0.0,64,64,0,,64,64,0,,0,0.0,64,64,0,,64,64,0,,0,0.0,573,0,engagement_join:63->63,63
ATP_MAIN,Elias Ymer,26JUN22BASYME,,03:30:00,07:30:00,07:30:00,scheduled_fallback,36,38,2,,38,38,2,,0,,38,40,2,,39,39,2,,0,,38,40,2,,40,40,2,,0,,1303,0,staircase:31->32->33->34->35->36,36
ATP_MAIN,Florent Bax,26JUN22BAXROD,,06:30:00,10:30:00,10:30:00,scheduled_fallback,10,11,1,,10,10,1,,0,,12,12,0,,12,12,0,,0,0.0,12,12,0,,12,12,0,,0,0.0,111,0,staircase:10,10
ATP_MAIN,Chris Rodesch,26JUN22BAXROD,,06:30:00,10:30:00,10:30:00,scheduled_fallback,88,88,0,,88,88,0,,0,0.0,89,90,1,,90,90,1,,0,,88,89,1,,89,89,1,,0,,414,100,engagement_join:88->88,88
ATP_MAIN,Zizou Bergs,26JUN22BERMUN,,07:00:00,11:00:00,13:56:12,latch,55,58,3,,57,55,0,3,0,1.0,56,59,3,,58,56,0,3,0,1.0,55,59,4,,57,56,1,4,0,1.0,24509,1236,engagement_join:57->57,57
ATP_MAIN,Jaume Munar,26JUN22BERMUN,,07:00:00,11:00:00,13:56:12,latch,42,44,2,,42,44,1,2,0,1.0,43,45,2,,43,45,1,2,0,1.0,42,46,4,,42,46,2,4,0,1.0,25181,2543,staircase:38->39->40->41->42->44,
