ts_ET,leg,phase,best_bid,best_ask,bid_depth,ask_depth,last_traded_price,last_traded_side,last_traded_size,our_bid
08:40:29.42,Oliver Crawford,window1,30,32,4566,8298,32,buy,119,30
08:40:47.94,Jurij Rodionov,window1,68,69,2052,26,69,buy,3,65
08:40:47.94,Oliver Crawford,window1,30,32,1331,2498,32,buy,119,30
08:41:07.84,Jurij Rodionov,window1,68,69,3353,26,69,buy,3,65
08:41:07.84,Oliver Crawford,window1,30,32,4286,8663,32,buy,119,30
08:41:23.76,Jurij Rodionov,window1,68,69,2052,26,69,buy,3,65
08:41:23.76,Oliver Crawford,window1,30,32,1331,2498,32,buy,119,30
08:41:39.72,Oliver Crawford,window1,30,32,3661,2168,32,buy,119,30
08:41:54.57,Jurij Rodionov,window1,68,69,2052,26,69,buy,3,65
08:42:25.75,Jurij Rodionov,window1,68,69,3315,26,69,buy,3,65
08:42:25.75,Oliver Crawford,window1,30,32,4568,8356,32,buy,119,30
08:42:40.32,Jurij Rodionov,window1,68,69,3315,26,69,buy,3,65
08:42:40.32,Oliver Crawford,window1,30,32,4568,8387,32,buy,119,30
08:42:54.99,Jurij Rodionov,window1,68,69,3315,26,69,buy,3,65
08:43:11.44,Oliver Crawford,window1,30,32,4568,8387,32,buy,119,30
08:43:25.81,Jurij Rodionov,window1,68,69,3315,26,69,buy,3,65
08:43:25.81,Oliver Crawford,window1,30,32,4568,8387,32,buy,119,30
08:44:13.37,Jurij Rodionov,window1,68,69,3315,26,69,buy,3,65
08:44:13.37,Oliver Crawford,window1,30,32,4568,8387,32,buy,119,30
08:44:27.30,Oliver Crawford,window1,30,32,4238,16711,32,buy,119,30
08:44:40.45,Jurij Rodionov,window1,68,69,5315,26,69,buy,3,65
08:44:40.45,Oliver Crawford,window1,30,32,4238,11711,32,buy,119,30
08:44:55.40,Jurij Rodionov,window1,68,69,2052,26,69,buy,3,65
08:44:55.40,Oliver Crawford,window1,30,32,3661,2168,32,buy,119,30
08:45:13.53,Oliver Crawford,window1,30,32,3661,2168,32,buy,119,30
08:45:28.54,Jurij Rodionov,window1,68,69,2052,26,69,buy,3,65
08:45:28.54,Oliver Crawford,window1,30,32,3661,2168,32,buy,119,30
08:45:59.95,Jurij Rodionov,window1,68,69,2052,26,69,buy,3,65
08:45:59.95,Oliver Crawford,window1,30,32,3661,2168,32,buy,119,30
08:46:16.88,Jurij Rodionov,window1,68,69,2052,26,69,buy,3,65
08:46:16.88,Oliver Crawford,window1,30,32,3661,2168,32,buy,119,30
08:46:31.54,Jurij Rodionov,window1,68,69,2052,26,69,buy,3,65
08:46:31.54,Oliver Crawford,window1,30,32,3661,2168,32,buy,119,30
08:47:09.32,Jurij Rodionov,window1,68,69,2062,26,69,buy,3,65
08:47:09.32,Oliver Crawford,window1,30,32,3661,2184,32,buy,119,30
08:47:31.01,Jurij Rodionov,window1,68,69,2062,26,69,buy,3,65
08:47:31.01,Oliver Crawford,window1,30,32,3661,2184,32,buy,119,30
08:48:34.13,Jurij Rodionov,window1,68,69,2062,26,69,buy,3,65
08:48:34.13,Oliver Crawford,window1,30,32,1661,2184,32,buy,119,30
08:48:52.02,Jurij Rodionov,window1,68,69,2062,26,69,buy,3,65
08:48:52.02,Oliver Crawford,window1,30,32,3661,2184,32,buy,119,30
08:49:28.83,Jurij Rodionov,window1,68,69,2062,26,69,buy,3,65
