ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid,bid_depth_5,ask_depth_5,depth_ratio
2026-04-18 04:22:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,15,800,13,800,12,800,7,1,6,116,93,1,94,365,95,25,96,543,97,84,54.0,2517,1018,0.712
2026-04-18 04:22:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,15,800,13,800,12,800,7,1,6,116,38,800,93,1,94,365,95,25,96,543,26.5,2517,1734,0.592
2026-04-18 04:22:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,15,800,13,800,12,800,7,1,6,116,38,800,41,800,93,1,94,365,95,25,26.5,2517,1991,0.558
2026-04-18 04:22:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,15,800,13,800,12,800,7,1,6,116,38,800,40,800,41,800,93,1,94,365,26.5,2517,2766,0.476
2026-04-18 04:25:31 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,15,800,13,800,12,800,7,1,6,116,38,800,40,800,41,800,89,1,93,1,26.5,2517,2402,0.512
2026-04-18 04:25:31 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,15,800,13,800,12,800,7,1,6,116,38,800,40,800,41,800,84,1,89,1,26.5,2517,2402,0.512
2026-04-18 04:25:32 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,15,800,13,800,12,800,7,1,6,116,38,800,40,800,41,800,74,1,84,1,26.5,2517,2402,0.512
2026-04-18 04:33:44 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,23,500,15,800,13,800,12,800,7,1,38,800,40,800,41,800,74,1,84,1,30.5,2901,2402,0.547
2026-04-18 04:33:46 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,23,500,15,800,13,800,12,800,7,1,37,19,38,800,40,800,41,800,74,1,30.0,2901,2420,0.545
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,23,500,13,800,12,800,7,1,6,116,37,19,38,800,40,800,41,800,74,1,30.0,2217,2420,0.478
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,23,500,12,800,7,1,6,116,5,194,37,19,38,800,40,800,41,800,74,1,30.0,1611,2420,0.400
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,23,500,7,1,6,116,5,194,4,823,37,19,38,800,40,800,41,800,74,1,30.0,1634,2420,0.403
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,23,1300,7,1,6,116,5,194,4,823,37,19,38,800,40,800,41,800,74,1,30.0,2434,2420,0.501
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,23,1300,22,800,7,1,6,116,5,194,37,19,38,800,40,800,41,800,74,1,30.0,2411,2420,0.499
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,24,800,23,1300,22,800,7,1,6,116,37,19,38,800,40,800,41,800,74,1,30.5,3017,2420,0.555
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,24,800,23,1300,22,800,7,1,6,116,38,800,40,800,41,800,74,1,84,1,31.0,3017,2402,0.557
2026-04-18 04:38:44 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,24,800,23,1300,22,800,6,116,5,194,38,800,40,800,41,800,74,1,84,1,31.0,3210,2402,0.572
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,24,800,23,1300,22,800,6,116,5,194,29,41,38,800,40,800,41,800,74,1,26.5,3210,2442,0.568
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,24,800,23,1300,22,800,6,116,5,194,29,41,30,33,38,800,40,800,41,800,26.5,3210,2474,0.565
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,24,838,23,1300,22,800,6,116,5,194,29,41,30,33,38,800,40,800,41,800,26.5,3248,2474,0.568
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,28,24,838,23,1300,22,800,6,116,29,41,30,33,38,800,40,800,41,800,27.0,3082,2474,0.555
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,68,24,838,23,1300,22,800,6,116,29,41,30,33,38,800,40,800,41,800,27.0,3122,2474,0.558
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,68,24,863,23,1300,22,800,6,116,29,41,30,33,38,800,40,800,41,800,27.0,3147,2474,0.560
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,68,24,863,23,1300,22,800,6,116,29,69,30,33,38,800,40,800,41,800,27.0,3147,2502,0.557
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,68,24,863,23,1300,22,800,6,116,29,69,30,56,38,800,40,800,41,800,27.0,3147,2525,0.555
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,68,24,63,23,1300,22,800,6,116,29,69,30,56,38,800,40,800,41,800,27.0,2347,2525,0.482
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,68,24,63,23,1300,22,800,6,116,29,69,30,56,40,800,41,800,74,1,27.0,2347,1726,0.576
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,68,24,63,23,1300,22,800,6,116,29,69,30,56,41,800,74,1,84,1,27.0,2347,927,0.717
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,68,24,63,23,1300,22,800,6,116,29,69,30,56,74,1,84,1,89,1,27.0,2347,128,0.948
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,868,24,63,23,1300,22,800,6,116,29,69,30,56,74,1,84,1,89,1,27.0,3147,128,0.961
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,868,24,63,23,1300,22,800,6,116,29,69,30,56,31,800,74,1,84,1,27.0,3147,927,0.772
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,868,24,63,23,1300,22,800,6,116,29,69,30,856,31,800,74,1,84,1,27.0,3147,1727,0.646
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,868,24,63,23,1300,22,800,6,116,29,869,30,856,31,800,74,1,84,1,27.0,3147,2527,0.555
2026-04-18 04:45:27 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,868,24,63,23,1300,22,800,6,116,29,869,30,856,31,800,64,1,74,1,27.0,3147,2527,0.555
2026-04-18 04:47:36 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,25,868,24,63,23,1300,22,800,6,116,29,869,30,856,31,800,64,1,74,1,27.0,3147,2527,0.555
