ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 02:49:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,17,1,16,163,8,110,7,109,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:49:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,17,1,16,163,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:49:03 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,17,110,16,163,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:53:44 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,18,3250,17,110,16,163,7,109,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:53:44 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,18,3250,17,109,16,163,7,109,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:53:44 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,18,3250,16,163,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:53:44 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,19,110,18,3250,16,163,7,109,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:59:43 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,19,110,18,3250,16,163,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:59:43 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,19,110,18,3250,6,116,5,194,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:59:43 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,20,168,19,110,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:59:43 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,20,168,19,215,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:59:43 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,20,168,19,105,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:59:43 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,21,1,20,168,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:59:43 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,21,110,20,168,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5
