ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1784166195,2026-07-15 09:43:15 PM,58,2443,60,658
1784166202,2026-07-15 09:43:22 PM,58,2083,59,3342
1784166202,2026-07-15 09:43:22 PM,58,2083,59,3702
1784166202,2026-07-15 09:43:22 PM,58,2443,59,3333
1784166202,2026-07-15 09:43:22 PM,58,2443,59,3342
1784166202,2026-07-15 09:43:22 PM,58,2443,60,658
1784166210,2026-07-15 09:43:30 PM,58,2083,59,3702
1784166223,2026-07-15 09:43:43 PM,58,2084,59,3702
1784166229,2026-07-15 09:43:49 PM,58,2444,59,3342
1784166229,2026-07-15 09:43:49 PM,58,2444,59,3702
1784166232,2026-07-15 09:43:52 PM,58,2444,59,3342
1784166266,2026-07-15 09:44:26 PM,58,2444,59,9
1784166268,2026-07-15 09:44:28 PM,58,2444,59,10
1784166308,2026-07-15 09:45:08 PM,58,2121,59,10
1784166308,2026-07-15 09:45:08 PM,58,2121,59,133
1784166311,2026-07-15 09:45:11 PM,58,2444,59,133
1784166510,2026-07-15 09:48:30 PM,58,2452,59,133
1784166821,2026-07-15 09:53:41 PM,58,2452,59,123
1784166821,2026-07-15 09:53:41 PM,58,2452,59,124
1784166830,2026-07-15 09:53:50 PM,58,2452,59,123
1784166886,2026-07-15 09:54:46 PM,58,2323,59,123
1784166991,2026-07-15 09:56:31 PM,58,2323,59,121
1784167115,2026-07-15 09:58:35 PM,58,10323,59,121
1784167190,2026-07-15 09:59:50 PM,58,10323,59,122
1784167702,2026-07-15 10:08:22 PM,58,10323,59,1
1784167702,2026-07-15 10:08:22 PM,58,10323,59,122
1784167703,2026-07-15 10:08:23 PM,58,10323,59,1
1784167703,2026-07-15 10:08:23 PM,58,10465,59,1
1784168060,2026-07-15 10:14:20 PM,58,11065,59,1
1784168061,2026-07-15 10:14:21 PM,58,10465,59,1
1784168062,2026-07-15 10:14:22 PM,58,10323,59,1
1784168062,2026-07-15 10:14:22 PM,58,10465,59,1
1784168079,2026-07-15 10:14:39 PM,58,10323,59,1
1784168080,2026-07-15 10:14:40 PM,58,10323,59,234
1784168137,2026-07-15 10:15:37 PM,58,10923,59,234
1784168181,2026-07-15 10:16:21 PM,58,10923,59,228
1784168181,2026-07-15 10:16:21 PM,58,10923,59,233
1784168265,2026-07-15 10:17:45 PM,58,10923,59,227
1784168346,2026-07-15 10:19:06 PM,58,10323,59,227
1784168346,2026-07-15 10:19:06 PM,58,10923,59,227
1784168364,2026-07-15 10:19:24 PM,58,10323,59,227
1784168406,2026-07-15 10:20:06 PM,58,10323,59,216
1784168406,2026-07-15 10:20:06 PM,58,10923,59,216
1784168475,2026-07-15 10:21:15 PM,58,10923,59,213
1784168542,2026-07-15 10:22:22 PM,58,10923,59,204
1784168713,2026-07-15 10:25:13 PM,58,10923,59,205
1784168789,2026-07-15 10:26:29 PM,58,10923,59,215
