c,X,target,raw_N,pooled_N,match_N,reach_raw,reach_pooled,reach_pooled_match,exp_ret_match,net_raw,net_pooled,miss_cost_raw,reach_pooled_mono,reach_pooled_match_mono,minute_over_optimistic
35.0,11.0,46.0,385.0,1523.4,26.0,0.9922077922077922,0.87656247069435,0.8545060008572654,7.18433883411916,10.641558441558441,14.627469078320239,35.0,0.87656247069435,0.8545060008572654,0.022056469837084647
36.0,9.0,45.0,238.0,1274.4,27.0,0.7394957983193278,0.844906033630069,0.8572067438844416,5.561379186977326,19.966386554621845,14.34769345937853,-51.096774193548384,0.844906033630069,0.8572067438844416,-0.012300710254372627
37.0,9.0,46.0,110.0,1424.1,27.0,0.6545454545454545,0.855948216428772,0.8557913107375769,6.176173417837788,24.92727272727273,13.982126090911335,-55.10526315789474,0.855948216428772,0.8557913107375769,0.00015690569119508613
38.0,8.0,46.0,121.0,1484.2,28.0,0.371900826446281,0.8739809782608696,0.8842703103136059,6.368836941312042,32.49586776859504,12.489965698503207,-47.0,0.8739809782608696,0.8842703103136059,-0.0102893320527363
39.0,8.0,47.0,111.0,1583.4,28.0,0.8288288288288288,0.8816149570145144,0.8863597320048102,6.381807249613469,8.963963963963963,12.015498671461168,-13.631578947368418,0.8816149570145144,0.8863597320048102,-0.004744774990295797
40.0,9.0,49.0,385.0,1955.7,28.0,0.961038961038961,0.9497402142037485,0.8549974830807092,5.672297108339394,9.688311688311689,9.779699441359076,-26.66666666666667,0.9497402142037485,0.8549974830807092,0.09474273112303933
41.0,9.0,50.0,549.0,2348.3,30.0,0.9872495446265938,0.9609866583928016,0.8613003304781817,4.867589532609428,8.54462659380692,9.252505391575916,26.714285714285715,0.9609866583928016,0.8613003304781817,0.09968632791461995
42.0,9.0,51.0,391.0,2882.4,30.0,0.9744245524296675,0.9815382513200591,0.884809291837733,5.0987470484375335,7.695652173913043,8.567844952188624,42.0,0.9815382513200591,0.884809291837733,0.09672895948232607
43.0,9.0,52.0,555.0,3428.6,30.0,0.9945945945945946,0.9553862339769866,0.882308915707737,4.389946941448484,8.718918918918922,6.919670521859407,43.0,0.9553862339769866,0.882308915707737,0.07307731826924968
44.0,10.0,54.0,399.0,3976.6,31.0,0.974937343358396,0.9369011432126044,0.8654918320402354,3.515049319661584,8.646616541353383,6.513872143465335,44.0,0.9369011432126044,0.8654918320402354,0.07140931117236904
45.0,11.0,56.0,617.0,3900.3,29.0,0.9108589951377634,0.8555663966729774,0.858347956881424,3.1075457508147397,6.008103727714747,2.6312043003960977,45.0,0.8555663966729774,0.858347956881424,-0.002781560208446554
