c,tbin,fill
41,180,0.758823430360999
41,190,0.7787816113462043
41,200,0.7799279563776715
41,210,0.7836189051345461
41,220,0.7702195562485815
41,230,0.7665784651773948
41,240,0.7481506721682416
42,20,0.2775753096531031
42,30,0.4961586205982099
42,40,0.5768281474659805
42,50,0.6075405534544335
42,60,0.6484822766809474
42,70,0.6868436829460767
42,80,0.6855886956423948
42,90,0.7089721786110882
42,100,0.7187114915817391
42,110,0.7452220359146535
42,120,0.7402474637303609
42,130,0.7626917582434486
42,140,0.77172978497884
42,150,0.7756041578968392
42,160,0.7813349817536291
42,170,0.7705910651872386
42,180,0.764029053778235
42,190,0.7792541080747573
42,200,0.777413119883339
42,210,0.776573476037011
42,220,0.7648680401656138
42,230,0.75586068362211
42,240,0.7438807845896027
43,20,0.2726624092759147
43,30,0.4898797789871115
43,40,0.5671494550505928
43,50,0.610236060946338
43,60,0.6288784122665244
43,70,0.669880569780676
43,80,0.6667009140436918
43,90,0.7055105736185189
43,100,0.7086227742943354
43,110,0.7336639681491822
43,120,0.7326134384678233
43,130,0.7400243447943702
43,140,0.7465978590117665
43,150,0.7526841960760001
43,160,0.75976010726156
43,170,0.7424834341489712
43,180,0.7426311054094703
43,190,0.7555846789185732
43,200,0.7553250480158026
43,210,0.7476552930699026
43,220,0.7417980800980339
43,230,0.7217525880746489
43,240,0.7040599037695884
44,20,0.29279800557655267
44,30,0.5302435108500771
44,40,0.6009486051380811
44,50,0.6550994191393713
44,60,0.6634318047944594
44,70,0.7039839096550713
44,80,0.6945225097632659
44,90,0.7409363382110469
44,100,0.7471459755839269
44,110,0.7669103413127517
44,120,0.7692060634580419
44,130,0.766245841864096
44,140,0.7741967311592363
44,150,0.7835267030132622
44,160,0.7883767561139671
44,170,0.7730415834314585
44,180,0.77406677646865
44,190,0.781320449438729
44,200,0.7850091174075986
44,210,0.7782848105537254
44,220,0.7813398630264223
44,230,0.7546049556498645
44,240,0.7293488087992138
45,20,0.2929617876555678
45,30,0.5338407888981245
45,40,0.6057219250256359
45,50,0.6705194087777497
45,60,0.6781533510395076
45,70,0.7195454255407783
45,80,0.7067958967145521
45,90,0.7526441070001118
45,100,0.7575702264375184
45,110,0.7738889350483578
45,120,0.7846435307769162
45,130,0.7764191258545201
45,140,0.786468084245291
45,150,0.7919352457640038
45,160,0.7923094371550865
45,170,0.7829254937464005
45,180,0.7785279186943668
45,190,0.7808619110506668
45,200,0.7956401255982539
45,210,0.7907342148187781
45,220,0.7970814801143802
45,230,0.7711571331964787
45,240,0.7453774981767821
46,20,0.2779145011502948
46,30,0.5137374988652988
46,40,0.5837423612106707
46,50,0.6544602406422384
46,60,0.6641788953266725
46,70,0.7044409945357986
46,80,0.6917907668846396
46,90,0.7372801963722081
46,100,0.7344523138974705
46,110,0.7504545990139149
46,120,0.7660926338148154
46,130,0.7586752093546533
46,140,0.7739628061535345
46,150,0.7719986614388578
46,160,0.7712515672123912
46,170,0.7716471656093605
46,180,0.762289203695116
46,190,0.7585965266662621
46,200,0.7846954315634689
46,210,0.7818035505868371
46,220,0.7897138345202203
46,230,0.762400307998556
46,240,0.7292886552349415
47,20,0.28943449769381563
47,30,0.5390551555520412
47,40,0.6049247196205778
47,50,0.67704110175371
47,60,0.6849981043885629
47,70,0.7305437739885869
47,80,0.7222043163785133
47,90,0.762429690757025
47,100,0.762007592848027
47,110,0.7681369368974994
47,120,0.7803571446661126
47,130,0.7812107535713003
47,140,0.7998267732222737
47,150,0.7927122987948363
47,160,0.8000774999747895
47,170,0.8144091584978997
47,180,0.8002937274025586
47,190,0.7897000909540601
47,200,0.8118268368522997
47,210,0.805863323901277
47,220,0.8146869911647983
47,230,0.8002400979407558
47,240,0.7700733898265362
48,20,0.2880842753758055
48,30,0.531423495197817
48,40,0.6099190820913286
48,50,0.6774859726171014
48,60,0.6915841994848325
48,70,0.7378605365242731
48,80,0.7354856263088217
48,90,0.7668197931483712
48,100,0.7695754657187216
48,110,0.7685935071882735
48,120,0.7771679724561892
48,130,0.7833497506755295
48,140,0.7967188614391653
48,150,0.7824387758821916
48,160,0.7926109378629597
48,170,0.8080160038316329
48,180,0.7985340128818873
48,190,0.7931916670218933
48,200,0.8082254938936657
48,210,0.8000112536397879
48,220,0.8063417563846631
48,230,0.7952553284126521
48,240,0.7831271434173098
49,20,0.2884624485610277
49,30,0.5304795453321804
49,40,0.6140859422941822
49,50,0.6728555854912136
49,60,0.6908171779426784
49,70,0.7363682612576558
49,80,0.7402922191685167
49,90,0.7647368990980086
49,100,0.7622957053980278
49,110,0.7503065102640928
49,120,0.7568048445399902
49,130,0.7643772327071855
49,140,0.7785754970344266
49,150,0.7618046904880074
49,160,0.7857906087858915
49,170,0.8041866352509214
49,180,0.8001126591840635
49,190,0.7966404475641252
49,200,0.7953288391685774
49,210,0.7884292607444663
49,220,0.7978061611757383
