c,tbin,dbucket,occ_N,fill_reach,deepen_frac,extra_dip,mean_vol,present_N,occupancy,match_N,fill_reach_pooled,occupancy_pooled,pooled_N
6,120,1,6,1.0,1.0,2.6666666666666665,19247.75,19,0.3157894736842105,6,1.0,0.36082809126408844,178.7
6,180,-3,1,1.0,1.0,2.0,0.0,18,0.05555555555555555,1,1.0,0.06803753949356482,178.7
6,180,-2,1,0.0,0.0,-1.0,316523.0,18,0.05555555555555555,1,0.6047695369102487,0.14993120296831675,178.7
6,180,-1,10,1.0,0.6333333333333333,0.9333333333333333,44384.058333333334,18,0.5555555555555556,10,0.9078644166289307,0.4778821307243772,178.7
6,180,0,15,1.0,0.9333333333333333,2.0388888888888888,30754.48401932367,18,0.8333333333333334,15,1.0,0.8002053319535084,178.7
6,180,1,6,1.0,1.0,3.0,2577.111111111111,18,0.3333333333333333,6,1.0,0.3270461885317375,178.7
6,180,2,1,1.0,1.0,4.0,0.0,18,0.05555555555555555,1,0.9077793305383643,0.09507948068550096,178.7
6,180,20,1,1.0,1.0,44.0,0.0,18,0.05555555555555555,1,1.0,0.04431172609864545,178.7
6,240,-2,2,1.0,0.5,0.5,12257.75,19,0.10526315789473684,2,0.9069891270302922,0.10090610145777379,178.7
6,240,-1,6,0.8333333333333334,0.6666666666666666,0.8333333333333334,6991.175,19,0.3157894736842105,6,0.8394450661209653,0.3610158630246573,178.7
6,240,0,18,1.0,0.8849206349206349,1.5515873015873016,8126.728599163679,19,0.9473684210526315,18,1.0,0.9457996527295695,178.7
6,240,1,9,1.0,1.0,1.9444444444444444,653.7037037037037,19,0.47368421052631576,9,1.0,0.36582490451052047,178.7
6,240,4,1,1.0,1.0,4.0,0.0,19,0.05263157894736842,1,1.0,0.048448425709757784,178.7
7,2,-2,1,0.0,0.0,,0.0,2,0.5,1,0.0,0.42212179098914404,251.8
7,2,1,1,1.0,0.0,0.9999999999999991,23062.0,2,0.5,1,0.5273512704109524,0.5370566238046569,251.8
7,3,0,1,0.0,0.0,-8.881784197001252e-16,21251.0,1,1.0,1,0.7488826693761025,0.6919344416255785,251.8
7,5,-3,1,1.0,0.0,0.0,0.0,2,0.5,1,1.0,0.5,251.8
7,5,0,1,0.0,0.0,-8.881784197001252e-16,21238.0,2,0.5,1,0.7153655899358364,0.5658532913777363,251.8
7,7,0,2,0.0,0.0,-8.881784197001252e-16,10585.5,2,1.0,2,0.7156272063427913,0.6230972333448926,251.8
7,7,1,1,1.0,0.0,0.9999999999999991,0.0,2,0.5,1,0.7016427779603706,0.36545022737443345,251.8
7,10,0,3,0.0,0.0,-8.881784197001252e-16,12963.333333333334,4,0.75,3,0.7643872249913568,0.6022095582333608,251.8
7,10,1,3,0.6666666666666666,0.0,0.9999999999999991,20375.666666666668,4,0.75,3,0.7764335189995976,0.45882365082358323,251.8
7,10,2,1,0.0,0.0,,0.0,4,0.25,1,0.5823654028782234,0.28842501278398713,251.8
7,15,-3,1,1.0,1.0,1.0,0.0,8,0.125,1,0.7571388817535747,0.18639224248651426,251.8
