c,D,time_bin_min_before_start,match_N,reach_dip_by_time_raw
21,8,40,12,0.16666666666666666
21,8,30,12,0.16666666666666666
21,8,20,12,0.25
21,8,10,12,0.25
21,8,5,12,0.25
21,8,2,12,0.25
21,8,1,12,0.25
22,3,240,11,0.0
22,3,180,11,0.0
22,3,120,11,0.0
22,3,90,11,0.0
22,3,60,11,0.0
22,3,40,11,0.18181818181818182
22,3,30,11,0.18181818181818182
22,3,20,11,0.2727272727272727
22,3,10,11,0.45454545454545453
22,3,5,11,0.45454545454545453
22,3,2,11,0.45454545454545453
22,3,1,11,0.45454545454545453
22,5,240,11,0.0
22,5,180,11,0.0
22,5,120,11,0.0
22,5,90,11,0.0
22,5,60,11,0.0
22,5,40,11,0.0
22,5,30,11,0.09090909090909091
22,5,20,11,0.09090909090909091
22,5,10,11,0.2727272727272727
22,5,5,11,0.2727272727272727
22,5,2,11,0.2727272727272727
22,5,1,11,0.2727272727272727
22,8,240,11,0.0
22,8,180,11,0.0
22,8,120,11,0.0
22,8,90,11,0.0
22,8,60,11,0.0
22,8,40,11,0.0
22,8,30,11,0.0
22,8,20,11,0.0
22,8,10,11,0.0
22,8,5,11,0.0
22,8,2,11,0.0
22,8,1,11,0.0
23,3,240,13,0.0
23,3,180,13,0.15384615384615385
23,3,120,13,0.3076923076923077
23,3,90,13,0.38461538461538464
23,3,60,13,0.46153846153846156
23,3,40,13,0.46153846153846156
23,3,30,13,0.46153846153846156
23,3,20,13,0.46153846153846156
23,3,10,13,0.5384615384615384
23,3,5,13,0.5384615384615384
23,3,2,13,0.5384615384615384
23,3,1,13,0.5384615384615384
23,5,240,13,0.0
23,5,180,13,0.15384615384615385
23,5,120,13,0.23076923076923078
23,5,90,13,0.23076923076923078
23,5,60,13,0.23076923076923078
23,5,40,13,0.23076923076923078
23,5,30,13,0.3076923076923077
23,5,20,13,0.3076923076923077
23,5,10,13,0.3076923076923077
23,5,5,13,0.3076923076923077
23,5,2,13,0.3076923076923077
23,5,1,13,0.3076923076923077
23,8,240,13,0.0
23,8,180,13,0.07692307692307693
23,8,120,13,0.15384615384615385
23,8,90,13,0.15384615384615385
23,8,60,13,0.15384615384615385
23,8,40,13,0.15384615384615385
23,8,30,13,0.23076923076923078
23,8,20,13,0.23076923076923078
23,8,10,13,0.23076923076923078
23,8,5,13,0.23076923076923078
23,8,2,13,0.23076923076923078
23,8,1,13,0.23076923076923078
24,3,240,13,0.0
24,3,180,13,0.15384615384615385
24,3,120,13,0.23076923076923078
24,3,90,13,0.23076923076923078
24,3,60,13,0.3076923076923077
24,3,40,13,0.38461538461538464
24,3,30,13,0.38461538461538464
24,3,20,13,0.5384615384615384
24,3,10,13,0.6153846153846154
24,3,5,13,0.6153846153846154
24,3,2,13,0.6153846153846154
24,3,1,13,0.6153846153846154
24,5,240,13,0.0
24,5,180,13,0.07692307692307693
24,5,120,13,0.15384615384615385
24,5,90,13,0.15384615384615385
24,5,60,13,0.15384615384615385
24,5,40,13,0.23076923076923078
24,5,30,13,0.23076923076923078
24,5,20,13,0.38461538461538464
24,5,10,13,0.38461538461538464
24,5,5,13,0.38461538461538464
24,5,2,13,0.38461538461538464
24,5,1,13,0.38461538461538464
24,8,240,13,0.0
24,8,180,13,0.07692307692307693
24,8,120,13,0.15384615384615385
24,8,90,13,0.15384615384615385
24,8,60,13,0.15384615384615385
24,8,40,13,0.15384615384615385
24,8,30,13,0.15384615384615385
24,8,20,13,0.23076923076923078
