c,tbin,fill
9,210,0.6714183160701467
9,220,0.7574066741063396
9,230,0.5854407199414001
9,240,0.5370226032735775
10,20,0.43644045078759147
10,30,0.7228684501411774
10,40,0.7917836182699668
10,50,0.7723086348993022
10,60,0.7295476812540822
10,70,0.765203323773807
10,80,0.8620253974346671
10,90,0.769425317063265
10,100,0.6668028293165352
10,110,0.6271766602320445
10,120,0.81743482979336
10,130,0.7845737555591279
10,140,0.8299882259521919
10,150,0.7688881734277742
10,160,0.6949202059672059
10,170,0.6938524747532927
10,180,0.6664177650801897
10,190,0.7340671838823672
10,200,0.5873572593800979
10,210,0.6433238811490569
10,220,0.7887434771804854
10,230,0.577241225128549
10,240,0.42287075640262056
11,20,0.43490658468191495
11,30,0.7143470515104521
11,40,0.7364760583741966
11,50,0.7377019381518256
11,60,0.731517267173669
11,70,0.7247406423769608
11,80,0.8132349935905773
11,90,0.7077211439627547
11,100,0.5860500548945801
11,110,0.5700921939454049
11,120,0.716545696176651
11,130,0.6335263025421596
11,140,0.7319685390751381
11,150,0.6987036872237549
11,160,0.589526147437328
11,170,0.6062345497967906
11,180,0.6265949554896142
11,190,0.6865534044514685
11,200,0.5598157599900411
11,210,0.6030405405405406
11,220,0.7350520896671937
11,230,0.5949642794912007
11,240,0.5650035137034435
12,20,0.3900238473767885
12,30,0.67955337001765
12,40,0.7261086183788824
12,50,0.6982695870831128
12,60,0.6579747750813536
12,70,0.5988040641548635
12,80,0.718645903859174
12,90,0.6147573032452661
12,100,0.4836797957695112
12,110,0.48222871994801825
12,120,0.5707363240583002
12,130,0.5058236272878536
12,140,0.6336369855615166
12,150,0.5847161743360401
12,160,0.5125063572056037
12,170,0.5278222120658135
12,180,0.5424757281553398
12,190,0.6254307179574083
12,200,0.5151572386438757
12,210,0.5599354301187253
12,220,0.6897957154928178
12,230,0.5431213984794925
12,240,0.5935483870967743
13,20,0.39808245893694416
13,30,0.6507145811849288
13,40,0.6936825807329773
13,50,0.6631519725291247
13,60,0.6050189947399182
13,70,0.5171729641550196
13,80,0.6258864961793832
13,90,0.5859478432217741
13,100,0.4599186068521674
13,110,0.4403633348952889
13,120,0.5121775915886315
13,130,0.45781327060965893
13,140,0.5701481542113449
13,150,0.49784622251980815
13,160,0.500624280852939
13,170,0.5349854655430601
13,180,0.5371955407618746
13,190,0.5945725473134653
13,200,0.5091785825117567
13,210,0.49905033238366575
13,220,0.6125294757845092
13,230,0.4656671315667132
13,240,0.47224926971762415
14,20,0.37487440960778234
14,30,0.6303290181431387
14,40,0.6539695019759574
14,50,0.6539618614398781
14,60,0.636841451806481
14,70,0.5464414330796361
14,80,0.6428651362066758
14,90,0.6051473290021968
14,100,0.48727897521941155
14,110,0.4549323801451892
14,120,0.5058470891206148
14,130,0.4442267465523281
14,140,0.5765859726341978
14,150,0.5089647629056127
14,160,0.5076841171251109
14,170,0.535905286793223
14,180,0.5265037369406206
14,190,0.5690515577612351
14,200,0.4874248617456119
14,210,0.47447349970136843
14,220,0.5969699891785328
14,230,0.4572124702364472
14,240,0.4481641468682505
15,20,0.3689030210145679
15,30,0.6306763928674528
15,40,0.6704872985767836
15,50,0.6622528004425391
15,60,0.6473092696365402
15,70,0.5489339217114376
15,80,0.6440713039879385
15,90,0.6434945708717378
15,100,0.5217479012460624
15,110,0.4948082564019507
15,120,0.5547746835443038
15,130,0.49203536718009905
15,140,0.6276309979393583
15,150,0.5845122717492717
15,160,0.5946619834352369
15,170,0.6270348430430522
15,180,0.6053029141943816
15,190,0.6128205128205128
15,200,0.5490901697672055
15,210,0.5399755390469286
15,220,0.6308994825095544
15,230,0.47180417405864417
15,240,0.48205771643663736
16,20,0.3657382416595618
16,30,0.6039800164791039
16,40,0.6268495603180455
16,50,0.6816506729167588
16,60,0.6640665484794764
16,70,0.6098297812924437
16,80,0.6365097371903953
16,90,0.6865128313126148
16,100,0.582580115036976
16,110,0.5836992361605886
16,120,0.634432149992316
16,130,0.5825279008917605
16,140,0.6877334418105838
16,150,0.664166305433574
16,160,0.678029836025151
16,170,0.7134782013417568
16,180,0.6879975188669494
16,190,0.6326603706007654
16,200,0.6306933836299463
16,210,0.5760861087278685
16,220,0.6179499389862794
16,230,0.4763030569606334
16,240,0.46557306281027416
17,20,0.3391369215814815
17,30,0.6015237237406291
17,40,0.6073952494165377
17,50,0.6769676484789957
17,60,0.6813213985460659
17,70,0.633188202109153
17,80,0.6566244367662806
17,90,0.6766935824609173
17,100,0.6280063133960995
17,110,0.6352691127995622
17,120,0.6324269457311146
17,130,0.6017384985186428
17,140,0.6896542257484455
17,150,0.7131338573558575
17,160,0.6897493336821623
17,170,0.7374126031170932
17,180,0.7158721383975026
17,190,0.6821474955795139
17,200,0.6517837463396201
17,210,0.6051395101856918
17,220,0.6320814032566435
17,230,0.5252793687998283
17,240,0.5063538611925709
18,20,0.33662757645067887
18,30,0.6230306674684305
18,40,0.6400778565684626
18,50,0.7028719538167351
18,60,0.6910012753118292
18,70,0.6735958424945032
18,80,0.661716546156091
18,90,0.7340300085390151
18,100,0.6890065435021719
18,110,0.7462197008767405
18,120,0.7393110363102486
18,130,0.7251906694616655
18,140,0.7704337562702863
18,150,0.8216320618058908
18,160,0.7936543340675273
18,170,0.808792673594826
18,180,0.789270085346099
18,190,0.7381624333646913
18,200,0.7115050021748586
18,210,0.7014194464158978
18,220,0.680049922788907
18,230,0.5904067580859804
18,240,0.6633344082554016
19,20,0.3385543046068251
19,30,0.5978670153276229
19,40,0.6366403830853763
19,50,0.7145309811757662
19,60,0.6633691744857704
19,70,0.6708860759493669
19,80,0.630754458327546
19,90,0.6605948949573589
19,100,0.6518416289278952
19,110,0.7204177972716796
19,120,0.7085085896721227
19,130,0.715310858944325
19,140,0.6980198919941089
19,150,0.7646202593437413
19,160,0.6969760444833758
19,170,0.779498610210733
19,180,0.7931213594034061
19,190,0.7208868083315801
19,200,0.6909218872822331
19,210,0.689728165089742
19,220,0.6345296782056645
19,230,0.6077889229166925
19,240,0.7493203605666047
20,20,0.31940433283253283
20,30,0.5869063461997247
20,40,0.6235724627304982
20,50,0.6894706472088172
20,60,0.6671950664847365
20,70,0.64281956432388
20,80,0.6308431727375344
20,90,0.6252582061352533
20,100,0.623978590544157
20,110,0.6616794700768204
20,120,0.6041068093107536
20,130,0.607908189173635
20,140,0.6191189843948929
20,150,0.696929755974056
20,160,0.6751900159519565
20,170,0.7390672310681952
20,180,0.7473441068586061
20,190,0.6696006906241009
20,200,0.5864158522122285
20,210,0.5957400828125136
20,220,0.5741863110169361
20,230,0.5704985402870599
20,240,0.653049548003204
21,20,0.33169374031901794
21,30,0.586719259536794
