code,cat,bell,margin,leg,census_A_epoch,census_B_epoch,census_sel_epoch,onset_tmin,runtime_onset_epoch,runtime_cand,runtime_passed_tmin,first_read_tmin,floor,floor_first_print_tmin,last_receipt_tmin,edge_tmin,runtime_vs_census
26JUL12VOLMAR,WTA_CHALL,exact,3,MAR,1783830384,1783871544,1783830384,4.0,1783862424,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,538.1,538.1,55,10.0,761.1,762.6,DIVERGES
26JUL12VOLMAR,WTA_CHALL,exact,3,VOL,1783830384,1783867344,1783830384,4.0,1783862424,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,538.1,538.1,42,651.6,662.5,762.6,DIVERGES
26JUL13GRABER,WTA_CHALL,live_by_only,1,BER,1783902343,1783913443,1783902343,194.0,1783902343,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,194.3,194.3,20,469.3,713.9,713.9,agrees
26JUL13GRABER,WTA_CHALL,live_by_only,1,GRA,1783902343,1783912963,1783902343,194.0,1783902343,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,198.8,198.8,79,395.8,630.1,713.9,agrees
26JUL13RADREN,WTA_CHALL,live_by_only,1,RAD,1783908088,1783908388,1783908088,320.0,1783908088,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,320.4,321.0,84,345.6,713.8,713.8,agrees
26JUL13RADREN,WTA_CHALL,live_by_only,1,REN,1783908088,1783904908,1783904908,267.0,1783904908,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,267.8,267.9,15,315.4,713.8,713.8,agrees
26JUL14BRAPIE,WTA_CHALL,live_by_only,5,BRA,1784025459,1784046939,1784025459,433.0,1784025459,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,433.1,433.1,78,624.8,792.0,792.0,agrees
26JUL14BRAPIE,WTA_CHALL,live_by_only,5,PIE,1784024619,1784046939,1784024619,419.0,1784024619,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,419.0,419.0,17,790.4,790.3,792.0,agrees
26JUL15ERJBAR,WTA_CHALL,exact,1,BAR,,1784081092,1784081092,222.0,1784081092,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,222.1,222.2,32,306.3,747.1,747.1,agrees
26JUL15ERJBAR,WTA_CHALL,exact,1,ERJ,,1784081332,1784081332,226.0,1784081332,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,226.0,226.0,67,232.8,695.9,747.1,agrees
26JUL19KOTHOD,WTA_CHALL,exact,2,HOD,1784476537,1784473837,1784473837,655.0,1784473837,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,655.1,655.4,61,749.0,740.0,769.4,agrees
26JUL19KOTHOD,WTA_CHALL,exact,2,KOT,1784476537,,1784476537,700.0,1784476537,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,700.0,700.4,37,739.5,769.3,769.4,agrees
26JUL12FETPIE,WTA_MAIN,live_by_only,5,FET,1783811557,1783811437,1783811437,494.0,1783811437,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,494.2,495.1,33,502.3,496.4,1129.4,agrees
26JUL12FETPIE,WTA_MAIN,live_by_only,5,PIE,1783811557,1783811557,1783811557,496.0,1783811437,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,494.0,494.1,62,517.0,1128.1,1129.4,DIVERGES
26JUL12GARPRI,WTA_MAIN,schedule_only,44,GAR,,1783841197,1783841197,990.0,1783841197,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,990.0,990.0,55,1035.0,1076.9,1143.4,agrees
26JUL12GARPRI,WTA_MAIN,schedule_only,44,PRI,,1783841257,1783841257,991.0,1783841257,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,991.0,991.0,1,1068.2,991.1,1143.4,agrees
26JUL12ROMTOD,WTA_MAIN,schedule_only,9,ROM,1783810357,1783840177,1783810357,476.0,1783810357,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,477.2,477.2,90,477.3,1058.0,1143.4,agrees
26JUL12ROMTOD,WTA_MAIN,schedule_only,9,TOD,1783810357,1783840117,1783810357,476.0,1783810357,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,476.5,477.3,1,991.5,500.2,1143.4,agrees
26JUL13ARGTAG,WTA_MAIN,live_by_only,5,ARG,1783895379,1783897959,1783895379,213.0,1783895379,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,213.0,213.1,2,535.6,232.3,1166.3,agrees
26JUL13ARGTAG,WTA_MAIN,live_by_only,5,TAG,1783895379,,1783895379,213.0,1783894359,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,196.2,196.2,93,255.2,1166.3,1166.3,DIVERGES
