code,leg,cat,origin_cell,pair_class,role_CANDIDATE,net_open_edge,floor_cents,floor_first_epoch,floor_pos_frac_of_postonset_span,credited,entry_cents,fill_ts,first_post_ts,read_at_first_post
26JUL17RODCRA,CRA,ATP_CHALL,26_50,FLAT_BOTH,,-1.5,30,1784311145.5,0.5204,False,,,,
26JUL17RODCRA,ROD,ATP_CHALL,51_75,FLAT_BOTH,,1.0,70,1784314461.9,0.9946,False,,,,
26JUL17RUBBAE,BAE,ATP_MAIN,26_50,MIRRORED,FALLER,-12.5,37,1784238820.0,0.0843,True,37,1784263616.18,1784238820,FALLING
26JUL17RUBBAE,RUB,ATP_MAIN,26_50,MIRRORED,CLIMBER,11.5,61,1784234740.5,0.009,True,62,1784241939.381,1784238821,RISING
26JUL17SANALM,ALM,ATP_CHALL,26_50,FLAT_BOTH,,0.5,49,1784296130.8,0.3071,False,,,,
26JUL17SANALM,SAN,ATP_CHALL,51_75,FLAT_BOTH,,-0.5,51,1784301968.7,0.3688,False,,,,
26JUL17SEKCAS,CAS,ATP_CHALL,51_75,FLAT_BOTH,,-0.5,62,1784266073.0,0.0024,False,,,,
26JUL17SEKCAS,SEK,ATP_CHALL,26_50,FLAT_BOTH,,0.5,38,1784299063.4,0.8813,False,,,,
26JUL17SMIYUN,SMI,ATP_CHALL,26_50,MIRRORED,FALLER,-12.0,36,1784320460.6,0.8248,True,36,1784320460.633,1784315611,FALLING
26JUL17SMIYUN,YUN,ATP_CHALL,26_50,MIRRORED,CLIMBER,14.0,61,1784288525.2,0.0389,False,,,,
26JUL17TABTIR,TAB,ATP_MAIN,26_50,MIRRORED,CLIMBER,6.0,52,1784228554.1,0.0153,False,,,1784231728,RISING
26JUL17TABTIR,TIR,ATP_MAIN,26_50,MIRRORED,FALLER,-5.5,42,1784247936.7,0.2889,True,46,1784234731.567,1784231728,FALLING
26JUL17TAUBEJ,BEJ,WTA_MAIN,51_75,FLAT_BOTH,,-3.0,48,1784298099.5,0.8377,True,48,1784298099.517,1784289808,FALLING
26JUL17TAUBEJ,TAU,WTA_MAIN,51_75,FLAT_BOTH,,2.0,50,1784241254.8,0.089,True,51,1784290320.753,1784289835,RISING
26JUL17UDVBAD,BAD,WTA_MAIN,51_75,MIRRORED,CLIMBER,21.0,66,1784234484.7,0.0002,False,,,1784235773,RISING
