ts_epoch,ts_et,tminus_bell_s,bid_1,bid_1_sz,ask_1,ask_1_sz
1783995076,2026-07-13 10:11:16 PM,54266.9,81,1691,84,3326
1783995076,2026-07-13 10:11:16 PM,54266.9,81,1690,84,3326
1783995429,2026-07-13 10:17:09 PM,53913.9,81,1692,84,3326
1783995670,2026-07-13 10:21:10 PM,53672.9,81,1692,84,3325
1783995683,2026-07-13 10:21:23 PM,53659.9,81,1692,84,3326
1783995766,2026-07-13 10:22:46 PM,53576.9,81,1693,84,3326
1783996036,2026-07-13 10:27:16 PM,53306.9,81,2093,83,400
1783996087,2026-07-13 10:28:07 PM,53255.9,81,2098,83,400
1783996938,2026-07-13 10:42:18 PM,52404.9,81,2111,83,400
1783997629,2026-07-13 10:53:49 PM,51713.9,81,2112,83,400
1783997710,2026-07-13 10:55:10 PM,51632.9,81,2112,83,408
1783997954,2026-07-13 10:59:14 PM,51388.9,81,2114,83,408
1783998712,2026-07-13 11:11:52 PM,50630.9,81,2115,83,408
1783998927,2026-07-13 11:15:27 PM,50415.9,81,2116,83,408
1783999277,2026-07-13 11:21:17 PM,50065.9,81,2118,83,408
1784001157,2026-07-13 11:52:37 PM,48185.9,81,2119,83,408
1784001532,2026-07-13 11:58:52 PM,47810.9,81,2118,83,408
1784001888,2026-07-14 12:04:48 AM,47454.9,81,2116,83,408
1784002929,2026-07-14 12:22:09 AM,46413.9,81,2117,83,408
1784003262,2026-07-14 12:27:42 AM,46080.9,81,2116,83,408
1784004321,2026-07-14 12:45:21 AM,45021.9,81,2115,83,408
1784004607,2026-07-14 12:50:07 AM,44735.9,81,2110,83,408
1784004664,2026-07-14 12:51:04 AM,44678.9,81,2109,83,408
1784004827,2026-07-14 12:53:47 AM,44515.9,81,2488,83,408
1784004827,2026-07-14 12:53:47 AM,44515.9,82,121,83,408
1784004827,2026-07-14 12:53:47 AM,44515.9,82,521,83,408
1784004827,2026-07-14 12:53:47 AM,44515.9,82,521,83,8
1784004827,2026-07-14 12:53:47 AM,44515.9,82,521,84,2644
1784004827,2026-07-14 12:53:47 AM,44515.9,82,521,84,2653
1784004827,2026-07-14 12:53:47 AM,44515.9,82,521,84,3053
1784004838,2026-07-14 12:53:58 AM,44504.9,82,530,84,3053
1784004838,2026-07-14 12:53:58 AM,44504.9,82,530,84,2634
1784004838,2026-07-14 12:53:58 AM,44504.9,82,530,84,2388
1784004839,2026-07-14 12:53:59 AM,44503.9,82,530,84,1714
1784004905,2026-07-14 12:55:05 AM,44437.9,82,530,84,1700
1784005008,2026-07-14 12:56:48 AM,44334.9,82,630,84,1700
1784005008,2026-07-14 12:56:48 AM,44334.9,82,730,84,1700
1784005008,2026-07-14 12:56:48 AM,44334.9,82,830,84,1700
1784005008,2026-07-14 12:56:48 AM,44334.9,82,930,84,1700
1784005009,2026-07-14 12:56:49 AM,44333.9,82,1030,84,1700
1784005009,2026-07-14 12:56:49 AM,44333.9,82,1130,84,1700
1784005009,2026-07-14 12:56:49 AM,44333.9,82,1143,84,1700
1784005026,2026-07-14 12:57:06 AM,44316.9,82,2879,84,1700
1784005026,2026-07-14 12:57:06 AM,44316.9,82,2879,84,1300
1784005027,2026-07-14 12:57:07 AM,44315.9,82,1143,84,1300
1784005027,2026-07-14 12:57:07 AM,44315.9,82,1143,84,1700
1784005029,2026-07-14 12:57:09 AM,44313.9,82,1224,84,1700
1784005029,2026-07-14 12:57:09 AM,44313.9,82,1224,84,1758
1784005454,2026-07-14 01:04:14 AM,43888.9,82,1224,84,1358
1784005536,2026-07-14 01:05:36 AM,43806.9,82,1224,84,1758
1784005741,2026-07-14 01:09:01 AM,43601.9,82,1324,84,1758
1784005741,2026-07-14 01:09:01 AM,43601.9,82,1424,84,1758
1784005741,2026-07-14 01:09:01 AM,43601.9,82,1524,84,1758
1784005741,2026-07-14 01:09:01 AM,43601.9,82,1624,84,1758
1784005742,2026-07-14 01:09:02 AM,43600.9,82,1650,84,1758
1784005797,2026-07-14 01:09:57 AM,43545.9,83,4,84,1758
1784005828,2026-07-14 01:10:28 AM,43514.9,83,4,84,1853
1784006015,2026-07-14 01:13:35 AM,43327.9,83,4,84,1453
1784006016,2026-07-14 01:13:36 AM,43326.9,82,1569,84,1453
1784006016,2026-07-14 01:13:36 AM,43326.9,82,1569,84,1853
1784006016,2026-07-14 01:13:36 AM,43326.9,82,1650,84,1853
1784006092,2026-07-14 01:14:52 AM,43250.9,82,1654,84,1853
1784006092,2026-07-14 01:14:52 AM,43250.9,82,1654,84,1859
1784006092,2026-07-14 01:14:52 AM,43250.9,82,1654,84,1459
1784006105,2026-07-14 01:15:05 AM,43237.9,83,4,84,1459
1784006281,2026-07-14 01:18:01 AM,43061.9,83,14,84,1459
1784006281,2026-07-14 01:18:01 AM,43061.9,83,14,84,1469
1784006314,2026-07-14 01:18:34 AM,43028.9,83,10,84,1469
1784006435,2026-07-14 01:20:35 AM,42907.9,83,10,84,1869
1784006452,2026-07-14 01:20:52 AM,42890.9,83,110,84,1869
1784006452,2026-07-14 01:20:52 AM,42890.9,83,210,84,1869
1784006452,2026-07-14 01:20:52 AM,42890.9,83,310,84,1869
1784006453,2026-07-14 01:20:53 AM,42889.9,83,410,84,1869
1784006453,2026-07-14 01:20:53 AM,42889.9,83,505,84,1869
1784006511,2026-07-14 01:21:51 AM,42831.9,83,505,84,1859
1784006511,2026-07-14 01:21:51 AM,42831.9,83,495,84,1859
1784006698,2026-07-14 01:24:58 AM,42644.9,83,495,84,2371
1784006698,2026-07-14 01:24:58 AM,42644.9,83,495,84,2883
1784006698,2026-07-14 01:24:58 AM,42644.9,83,495,84,3394
1784006769,2026-07-14 01:26:09 AM,42573.9,83,395,84,3394
1784006770,2026-07-14 01:26:10 AM,42572.9,83,295,84,3394
1784006770,2026-07-14 01:26:10 AM,42572.9,83,195,84,3394
1784006770,2026-07-14 01:26:10 AM,42572.9,83,95,84,3394
1784006770,2026-07-14 01:26:10 AM,42572.9,82,534,84,3394
1784006781,2026-07-14 01:26:21 AM,42561.9,82,634,84,3394
1784006781,2026-07-14 01:26:21 AM,42561.9,82,734,84,3394
1784006781,2026-07-14 01:26:21 AM,42561.9,82,834,84,3394
1784006781,2026-07-14 01:26:21 AM,42561.9,82,934,84,3394
1784006782,2026-07-14 01:26:22 AM,42560.9,82,1034,84,3394
1784006782,2026-07-14 01:26:22 AM,42560.9,82,1134,84,3394
1784006782,2026-07-14 01:26:22 AM,42560.9,82,1234,84,3394
1784006782,2026-07-14 01:26:22 AM,42560.9,82,1334,84,3394
1784006782,2026-07-14 01:26:22 AM,42560.9,82,1434,84,3394
1784006782,2026-07-14 01:26:22 AM,42560.9,82,1534,84,3394
1784006782,2026-07-14 01:26:22 AM,42560.9,82,1572,84,3394
1784007000,2026-07-14 01:30:00 AM,42342.9,82,1572,84,2503
1784007099,2026-07-14 01:31:39 AM,42243.9,82,1573,84,2503
1784007408,2026-07-14 01:36:48 AM,41934.9,82,1572,84,2503
1784007408,2026-07-14 01:36:48 AM,41934.9,82,1572,84,2103
1784008034,2026-07-14 01:47:14 AM,41308.9,82,1572,84,2008
1784008110,2026-07-14 01:48:30 AM,41232.9,82,1572,84,1999
1784008110,2026-07-14 01:48:30 AM,41232.9,82,1572,84,1985
1784008113,2026-07-14 01:48:33 AM,41229.9,82,1653,84,1985
1784008284,2026-07-14 01:51:24 AM,41058.9,82,1676,84,1985
1784008326,2026-07-14 01:52:06 AM,41016.9,82,1676,84,2031
1784009011,2026-07-14 02:03:31 AM,40331.9,82,1653,84,2031
1784009011,2026-07-14 02:03:31 AM,40331.9,82,1653,84,1985
1784009218,2026-07-14 02:06:58 AM,40124.9,82,3389,84,1985
1784009219,2026-07-14 02:06:59 AM,40123.9,82,1653,84,1985
1784009220,2026-07-14 02:07:00 AM,40122.9,82,1653,84,2385
1784009226,2026-07-14 02:07:06 AM,40116.9,82,1653,84,1985
1784009227,2026-07-14 02:07:07 AM,40115.9,82,1653,84,2385
1784009239,2026-07-14 02:07:19 AM,40103.9,82,3389,84,2385
1784009308,2026-07-14 02:08:28 AM,40034.9,82,1653,84,2385
1784009308,2026-07-14 02:08:28 AM,40034.9,82,1653,84,1985
1784009308,2026-07-14 02:08:28 AM,40034.9,82,1653,84,2385
1784009309,2026-07-14 02:08:29 AM,40033.9,82,1653,84,1985
1784009309,2026-07-14 02:08:29 AM,40033.9,82,1653,84,2385
1784009333,2026-07-14 02:08:53 AM,40009.9,82,1653,84,2480
1784009334,2026-07-14 02:08:54 AM,40008.9,82,1654,84,2480
1784009334,2026-07-14 02:08:54 AM,40008.9,82,2154,84,2480
1784009361,2026-07-14 02:09:21 AM,39981.9,82,3890,84,2480
1784009361,2026-07-14 02:09:21 AM,39981.9,82,3890,84,2080
1784009493,2026-07-14 02:11:33 AM,39849.9,83,2,84,2080
1784009513,2026-07-14 02:11:53 AM,39829.9,83,2,84,2480
1784009537,2026-07-14 02:12:17 AM,39805.9,83,12,84,2480
1784009538,2026-07-14 02:12:18 AM,39804.9,83,12,84,2490
1784009706,2026-07-14 02:15:06 AM,39636.9,83,10,84,2490
1784009773,2026-07-14 02:16:13 AM,39569.9,83,110,84,2490
1784009773,2026-07-14 02:16:13 AM,39569.9,83,210,84,2490
1784009773,2026-07-14 02:16:13 AM,39569.9,83,310,84,2490
1784009773,2026-07-14 02:16:13 AM,39569.9,83,410,84,2490
1784009773,2026-07-14 02:16:13 AM,39569.9,83,507,84,2490
1784009800,2026-07-14 02:16:40 AM,39542.9,83,510,84,2490
1784009834,2026-07-14 02:17:14 AM,39508.9,83,500,84,2490
1784009841,2026-07-14 02:17:21 AM,39501.9,83,500,84,2480
