ts_et,ticker,price,count,taker_side
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,46,100,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,46,10,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,46,400,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,46,672,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,46,38,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,47,2,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,47,3,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,47,50,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,47,672,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,48,640,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,48,8,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,49,780,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,50,56,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,51,1560,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,52,44,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,52,4781,yes
2026-04-18 04:35:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,43,yes
2026-04-18 04:35:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,10,yes
2026-04-18 04:35:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,50,yes
2026-04-18 04:35:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,5,yes
2026-04-18 04:35:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,7,yes
2026-04-18 04:35:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,185,yes
2026-04-18 04:35:46 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,11,yes
2026-04-18 04:35:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,29,yes
2026-04-18 04:35:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,50,yes
2026-04-18 04:35:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,10,yes
2026-04-18 04:35:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,7,yes
2026-04-18 04:35:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,215,yes
2026-04-18 04:35:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,40,yes
2026-04-18 04:35:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,86,yes
2026-04-18 04:35:59 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,0,yes
2026-04-18 04:35:59 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,18,yes
2026-04-18 04:35:59 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,10,yes
2026-04-18 04:35:59 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,19,yes
2026-04-18 04:35:59 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,313,yes
2026-04-18 04:35:59 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,300,yes
2026-04-18 04:35:59 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,289,yes
2026-04-18 04:36:10 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,67,yes
2026-04-18 04:36:20 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,111,yes
2026-04-18 04:36:26 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,11,yes
2026-04-18 04:36:28 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,50,yes
2026-04-18 04:36:28 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,44,yes
2026-04-18 04:36:41 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,22,yes
2026-04-18 04:36:45 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,92,yes
2026-04-18 04:36:45 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,12,yes
2026-04-18 04:36:45 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,95,yes
2026-04-18 04:36:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,45,yes
2026-04-18 04:37:21 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,42,300,no
2026-04-18 04:37:29 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,14,yes
2026-04-18 04:37:29 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,12,yes
2026-04-18 04:37:36 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,72,yes
2026-04-18 04:37:48 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,125,yes
2026-04-18 04:37:48 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,80,yes
2026-04-18 04:37:48 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,13,yes
2026-04-18 04:38:03 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,12,yes
2026-04-18 04:38:03 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,21,yes
2026-04-18 04:38:03 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,19,yes
2026-04-18 04:38:05 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,39,yes
2026-04-18 04:38:05 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,125,yes
2026-04-18 04:38:05 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,66,yes
2026-04-18 04:38:05 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,19,yes
2026-04-18 04:38:10 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,1,yes
2026-04-18 04:38:10 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,79,yes
